project_id,name,borough,address,block_lot,project_class
"19TMP0339K, 19CVCP027K",651 - 671 Gates Avenue,Brooklyn,651 - 671 GATES AVENUE,"Block: 1811, Lot:19 ...",Completed (C)
"19TMP0163K, 19RHAZ060K, 19TMP0868K (MERGED), 19TMP1915K (MERGED), 19TMP2078K (MERGED), 20CVCP034K, 21TMP0748K (MERGED), 21TMP1194K (MERGED), 22TMP0419K (MERGED)",63-71 Bridge Street,Brooklyn,63-71 BRIDGE STREET,"Block: 42, Lot:1 ...",Hold (H)
"19TMP0059K, 19EHAZ033K, 19CVCP020K, 23TMP0587K (MERGED)",1458-1460 FLATBUSH AVENUE,Brooklyn,1458-1460 FLATBUSH AVENUE,"Block: 5249, Lot:58 ...",Completed (C)
"19TMP0033K, 19EH-N113K, 19CVCP068K",842-846 FLUSHING AVENUE,Brooklyn,842-848 FLUSHING AVENUE,"Block: 3138, Lot:20 ...",Completed (C)
"18TMP1429K, 18EHAN480K, 19CVCP033K, 21TMP0790K (MERGED), 22TMP1657K (MERGED), 23TMP0090K (MERGED)",2618 Fulton Street,Brooklyn,2618 FULTON STREET,"Block: 3669, Lot:13 ...",Completed (C)
"18TMP1402K, 18RHAN479K, 19CVCP022K",161 HARRISON AVENUE,Brooklyn,161 HARRISON AVENUE,"Block: 2250, Lot:4",Active (A)
"18TMP1382K, 19CVCP021K",174 KINGS HIGHWAY,Brooklyn,166 KINGS HIGHWAY,"Block: 6619, Lot:42",Active (A)
"18TMP1329K, 18EH-N439K, 19CVCP060K, 19TMP1546K (MERGED)",975 MANHATTAN AVENUE,Brooklyn,975 MANHATTAN AVENUE,"Block: 2532, Lot:46",Completed (C)
"18TMP1177K, 18EH-A406K, 19CVCP001K",777 GLENMORE AVENUE,Brooklyn,777 GLENMORE AVENUE,"Block: 3988, Lot:35",Completed (C)
"18TMP1129K, 18EH-A407K, 19CVCP002K",142-150 South Portland Avenue,Brooklyn,142-150 SOUTH PORTLAND AVE,"Block: 2003, Lot:37",Active (A)
"18TMP1123K, 18EH-N414K, 19CVCP006K",288-292 UNION AVENUE,Brooklyn,288-292 UNION AVENUE,"Block: 3022, Lot:3 ...",Completed (C)
