project_id,name,borough,address,block_lot,project_class
19CVCP027K,651 - 671 Gates Avenue,Brooklyn,651 - 671 GATES AVENUE,Block: 1811Lot:19 ...,Completed (C)
20CVCP034K,63-71 Bridge Street,Brooklyn,63-71 BRIDGE STREET,Block: 42Lot:1 ...,Hold (H)
19CVCP020K,1458-1460 FLATBUSH AVENUE,Brooklyn,1458-1460 FLATBUSH AVENUE,Block: 5249Lot:58 ...,Completed (C)
19CVCP068K,842-846 FLUSHING AVENUE,Brooklyn,842-848 FLUSHING AVENUE,Block: 3138Lot:20 ...,Completed (C)
19CVCP033K,2618 Fulton Street,Brooklyn,2618 FULTON STREET,Block: 3669Lot:13 ...,Completed (C)
19CVCP022K,161 HARRISON AVENUE,Brooklyn,161 HARRISON AVENUE,Block: 2250Lot:4,Active (A)
19CVCP021K,174 KINGS HIGHWAY,Brooklyn,166 KINGS HIGHWAY,Block: 6619Lot:42,Active (A)
19CVCP060K,975 MANHATTAN AVENUE,Brooklyn,975 MANHATTAN AVENUE,Block: 2532Lot:46,Completed (C)
19CVCP001K,777 GLENMORE AVENUE,Brooklyn,777 GLENMORE AVENUE,Block: 3988Lot:35,Completed (C)
19CVCP002K,142-150 South Portland Avenue,Brooklyn,142-150 SOUTH PORTLAND AVE,Block: 2003Lot:37,Active (A)
19CVCP006K,288-292 UNION AVENUE,Brooklyn,288-292 UNION AVENUE,Block: 3022Lot:3 ...,Completed (C)
18CVCP072K,40-48 COMMERCIAL STREET,Brooklyn,40-48 COMMERCIAL STREET,Block: 2482Lot:1 ...,Active (A)
19CVCP007K,233 Nevins Street,Brooklyn,236 BUTLER STREET,Block: 412Lot:6 ...,Completed (C)
18CVCP051K,98 3RD AVENUE,Brooklyn,98 3RD AVENUE,Block: 388Lot:31,Hold (H)
19CVCP079K,113 Hamilton Avenue,Brooklyn,113 HAMILTON AVENUE,Block: 362Lot:1,Completed (C)
18CVCP048K,632 METROPOLITAN AVENUE,Brooklyn,632 METROPOLITAN AVENUE,Block: 2762Lot:17,Active (A)
18CVCP063K,67 DUFFIELD STREET,Brooklyn,67 DUFFIELD STREET,Block: 121Lot:3,Completed (C)
18CVCP040K,1026-1030 MANHATTAN AVENUE,Brooklyn,1026-1030 MANHATTAN AVENUE,Block: 2513Lot:3 ...,Active (A)
18CVCP050K,522 GRAND STREET,Brooklyn,522 GRAND STREET,Block: 2785Lot:12,Completed (C)
18CVCP018K,2415 CHURCH AVE,Brooklyn,2415 CHURCH AVE,Block: 5090Lot:86 ...,Completed (C)
18CVCP030K,72 South Second Street,Brooklyn,72 SOUTH SECOND STREET,Block: 2416Lot:7,Active (A)
19CVCP026K,705 Franklin Avenue,Brooklyn,705 FRANKLIN AVENUE,Block: 1231Lot:1,Active (A)
18CVCP034K,2570 FLATBUSH AVENUE,Brooklyn,2570 FLATBUSH AVENUE,Block: 8590Lot:31 ...,Completed (C)
18CVCP043K,157 New Jersey Avenue,Brooklyn,157 NEW JERSEY AVENUE,Block: 3671Lot:43 ...,Active (A)
18CVCP084K,315 Linwood Street,Brooklyn,315 LINWOOD,Block: 3971Lot:19 ...,Completed (C)
19CVCP011K,153 GREEN STREET,Brooklyn,153 GREEN STREET,Block: 2512Lot:52,Completed (C)
18CVCP038K,658 DRIGGS AVENUE,Brooklyn,658 DRIGGS AVENUE,Block: 2366Lot:21,Completed (C)
18CVCP032K,625 Driggs Avenue,Brooklyn,625 DRIGGS AVENUE,Block: 2353Lot:6 ...,Completed (C)
18CVCP002K,1190 Fulton Street,Brooklyn,1190 FULTON STREET,Block: 1860Lot:6 ...,Completed (C)
18CVCP014K,1048 MANHATTAN AVENUE,Brooklyn,1048 MANHATTAN AVENUE,Block: 2505Lot:2,Completed (C)
18CVCP016K,2437 PITKIN AVENUE,Brooklyn,2437 PITKIN AVENUE,Block: 4003Lot:35,Completed (C)
18CVCP009K,820 GLENMORE AVENUE,Brooklyn,820 GLENMORE AVENUE,Block: 4006Lot:13 ...,Completed (C)
18CVCP023K,81 MCGUINNESS BLVD,Brooklyn,81 MCGUINNESS BLVD,Block: 2649Lot:21,Completed (C)
17CVCP072K,1096 BROADWAY,Brooklyn,1096 BROADWAY,Block: 1600Lot:15,Completed (C)
17CVCP066K,183 MCGUINNESS BOULEVARD,Brooklyn,183 MCGUINNESS BOULEVARD,Block: 2599Lot:19 ...,Completed (C)
17CVCP062K,402 SNEDIKER AVENUE,Brooklyn,402 SNEDIKER AVENUE,Block: 3799Lot:26,Completed (C)
17CVCP060K,633 MARCY AVENUE,Brooklyn,633 MARCY AVENUE,Block: 1771Lot:5 ...,Completed (C)
17CVCP049K,922 MYRTLE AVENUE,Brooklyn,922 MYRTLE AVENUE,Block: 1756Lot:24 ...,Completed (C)
21CVCP031K,335 Ralph Avenue,Brooklyn,335 RALPH AVENUE,Block: 1556Lot:3,Active (A)
16CVCP085K,710 Grand Street,Brooklyn,710 Grand Street,Block: 2788Lot:19,Completed (C)
16CVCP043K,1516 Fulton Street,Brooklyn,1516 Fulton Street,Block: 1864Lot:12,Completed (C)
16CVCP066K,925 Atlantic Avenue,Brooklyn,925 Atlantic Avenue,Block: 2018Lot:57,Active (A)
16CVCP015K,1989 Coney Island Avenue,Brooklyn,1989 Coney Island Avenue,Block: 6774Lot:57 ...,Completed (C)
17CVCP055K,578 5th Avenue,Brooklyn,578 5th Avenue,Block: 1052Lot:46 ...,Completed (C)
17CVCP031K,540 Fulton Street,Brooklyn,540 Fulton Street,Block: 161Lot:18,Completed (C)
16CVCP072K,141 Metropolitan Avenue,Brooklyn,141 Metropolitan Avenue,Block: 2358Lot:24,Completed (C)
16CVCP076K,814-822 Bedford Ave,Brooklyn,814 Bedford Avenue,Block: 1900Lot:31 ...,Completed (C)
17CVCP018K,74-76 Ainslie Street,Brooklyn,74 Ainslie Street,Block: 2375Lot:10,Completed (C)
16CVCP064K,383 Manhattan Avenue,Brooklyn,383 Manhattan Avenue,Block: 2738Lot:24,Completed (C)
17CVCP027K,241 - 245 4TH AVENUE,Brooklyn,245 4TH AVENUE,Block: 958Lot:4 ...,Completed (C)
16CVCP070K,1353 Flatbush Avenue,Brooklyn,1353 Flatbush Avenue,Block: 5227Lot:13 ...,Completed (C)
16CVCP052K,805-825 Surf Avenue,Brooklyn,805 Surf Avenue,Block: 7268Lot:213 ...,Completed (C)
16CVCP048K,526 Union Avenue,Brooklyn,526 Union Avenue,Block: 2741Lot:3,Completed (C)
16CVCP020K,144 - 146 West Street,Brooklyn,146 West Street,Block: 2531Lot:1 ...,Completed (C)
18CVCP049K,1050-1066 Manhattan Avenue,Brooklyn,1050 Manhattan Avenue,Block: 2505Lot:3 ...,Completed (C)
17CVCP054K,609-619 4th Avenue,Brooklyn,609 4th Avenue,Block: 631Lot:6 ...,Completed (C)
16CVCP041K,415-419 Marcy Avenue,Brooklyn,419 Marcy Avenue,Block: 2245Lot:1 ...,Active (A)
16CVCP030K,470 Manhattan Avenue,Brooklyn,470 Manhattan Avenue,Block: 2714Lot:30 ...,Completed (C)
18CVCP037K,82 John Street,Brooklyn,78 John Street,Block: 20Lot:21,Completed (C)
16CVCP082K,461-463 Tompkins Avenue,Brooklyn,461 Tompkins Avenue,Block: 1852Lot:8 ...,Active (A)
16CVCP079K,179 Throop Avenue,Brooklyn,179 Throop Avenue,Block: 1723Lot:1 ...,Completed (C)
16CVCP016K,96-98 Degraw Street,Brooklyn,98 Degraw Street,Block: 329Lot:23 ...,Completed (C)
20CVCP060K,205 Park Avenue,Brooklyn,195 Park Avenue,Block: 2033Lot:50,Active (A)
15CVCP147K,308 North 7th Street,Brooklyn,308 NORTH 7TH STREET,Block: 2331Lot:15 ...,Completed (C)
15CVCP117K,86-90 Walton Street - DOB Job # 321064389,Brooklyn,90 Walton Street,Block: 2250Lot:10 ...,Completed (C)
15CVCP100K,209-227 McGuinness Boulevard,Brooklyn,209 McGuinness Blvd,Block: 2576Lot:20 ...,Completed (C)
17CVCP009K,911-917 Atlantic Avenue,Brooklyn,911 Atlantic Avenue,Block: 2018Lot:62 ...,Completed (C)
15CVCP142K,1520 Fulton Street,Brooklyn,1520 Fulton Street,Block: 1864Lot:14 ...,Completed (C)
16CVCP006K,125 Third Avenue,Brooklyn,125 3rd Avenue,Block: 395Lot:3,Completed (C)
15CVCP126K,977 Manhattan Avenue,Brooklyn,977 Manhattan Avenue,Block: 2532Lot:45,Completed (C)
15CVCP119K,400 Union Avenue,Brooklyn,400 Union Avenue,Block: 2773Lot:8,Completed (C)
16CVCP009K,402 Union Avenue,Brooklyn,402 Union Avenue,Block: 2767Lot:1,Active (A)
17CVCP033K,Greenpoint Landing F1,Brooklyn,41 Blue Slip,Block: 2472Lot:45 ...,Completed (C)
16CVCP065K,Greenpoint Landing G1,Brooklyn,1 BLUE SLIP,Block: 2472Lot:80 ...,Completed (C)
15CVCP019K,2501 Pitkin Avenue,Brooklyn,2501 Pitkin Avenue,Block: 4005Lot:28 ...,Completed (C)
15CVCP090K,100 Steuben Street,Brooklyn,102 Steuben Street,Block: 1893Lot:47 ...,Completed (C)
15CVCP165K,1068-1072 Fulton Street - DOB Job No. NB-320597243,Brooklyn,1068 Fulton Street,Block: 2016Lot:12 ...,Completed (C)
15CVCP055K,929 Atlantic Avenue,Brooklyn,929 Atlantic Avenue,Block: 2018Lot:54,Active (A)
15CVCP168K,148 West Street,Brooklyn,148 West Street,Block: 2531Lot:3,Completed (C)
16CVCP081K,2702 West 15th Street,Brooklyn,2702 West 15th Street,Block: 6996Lot:53 ...,Completed (C)
16CVCP044K,71 & 76 N 7th Street,Brooklyn,71 North 7th Street,Block: 2317Lot:18 ...,Completed (C)
16CVCP037K,337 Berry Street,Brooklyn,337 Berry Street,Block: 2443Lot:37 ...,Completed (C)
15CVCP140K,20 Marcy Avenue,Brooklyn,20 Marcy Avenue,Block: 2369Lot:27 ...,Completed (C)
15CVCP166K,432-438 Keap St.,Brooklyn,432 Keap Street,Block: 2375Lot:1 ...,Completed (C)
15CVCP125K,1326 Ocean Avenue,Brooklyn,1326 Ocean Avenue,Block: 6703Lot:55,Completed (C)
15CVCP163K,80-82 Ainslie St.,Brooklyn,80 Ainslie Street,Block: 2375Lot:12,Completed (C)
15CVCP115K,5111 4th Avenue,Brooklyn,5111 4th Avenue,Block: 799Lot:6,Completed (C)
15CVCP134K,1127 Flatbush Avenue,Brooklyn,1127 Flatbush Avenue,Block: 5165Lot:53 ...,Completed (C)
15CVCP101K,202 North 10th Street,Brooklyn,202 North 10th Street,Block: 2306Lot:9 ...,Completed (C)
16CVCP058K,430-434 Van Brunt Street,Brooklyn,434 Van Brunt Street,Block: 603Lot:23 ...,Completed (C)
15CVCP081K,108 Frost Street,Brooklyn,108 Frost Street,Block: 2738Lot:15,Completed (C)
15CVCP061K,9029 Flatlands Avenue,Brooklyn,9029 Flatlands Avenue,Block: 8179Lot:1,Completed (C)
15CVCP094K,77 Clay Street - DOB Job No. NB - 320626998,Brooklyn,77 Clay Street,Block: 2483Lot:62,Completed (C)
15CVCP071K,53 Grand Street - DOB Job No. NB-320914631,Brooklyn,53 Grand Street,Block: 2378Lot:35,Completed (C)
15CVCP044K,26 West Street,Brooklyn,26 West Street,Block: 2571Lot:1,Completed (C)
15CVCP158K,88 Withers St.,Brooklyn,88 Withers Street,Block: 2742Lot:17,Completed (C)
15CVCP054K,172-174 North 11th Street,Brooklyn,174 North 11th Street,Block: 2298Lot:13,Completed (C)
15CVCP028K,59-63 North 6th Street,Brooklyn,61 North 6th Street,Block: 2325Lot:28 ...,Completed (C)
16CVCP047K,901 Myrtle Ave,Brooklyn,901 Myrtle Avenue,Block: 1747Lot:34,Completed (C)
15CVCP129K,47 Walton Street,Brooklyn,47 WALTON STREET,Block: 2245Lot:60 ...,Completed (C)
18CVCP001K,1104-1106 Bedford Avenue,Brooklyn,1104 Bedford Avenue,Block: 1971Lot:28 ...,Completed (C)
15CVCP113K,771-781 Metropolitan Ave,Brooklyn,781 Metropolitan Avenue,Block: 2760Lot:28 ...,Completed (C)
15CVCP132K,948 Myrtle Avenue,Brooklyn,948 Myrtle Avenue,Block: 1756Lot:33 ...,Completed (C)
15CVCP145K,260 Lee Avenue,Brooklyn,260 Lee Avenue,Block: 2263Lot:46,Active (A)
15CVCP084K,902-908 Flushing Avenue/115 Stanwix Street (RheingoldBlock 3139),Brooklyn,115 Stanwix Street,Block: 3139Lot:21,Completed (C)
15CVCP088K,843 Lexington Avenue,Brooklyn,843 Lexington Avenue,Block: 1623Lot:73,Completed (C)
15CVCP073K,89-141 Melrose Street (Rheingold Block 3152 South),Brooklyn,123 MELROSE STREET,Block: 3152Lot:2 ...,Completed (C)
15CVCP072K,36-70 Noll Street (Rheingold Block 3152 North),Brooklyn,54 NOLL STREET,Block: 3152Lot:1 ...,Completed (C)
15CVCP029K,802-806 Myrtle Avenue,Brooklyn,806 Myrtle Avenue,Block: 1754Lot:33 ...,Completed (C)
15CVCP036K,667 Myrtle Avenue,Brooklyn,667 Myrtle Avenue,Block: 1900Lot:70 ...,Completed (C)
15CVCP068K,313 Wallabout Street,Brooklyn,313 Wallabout Street,Block: 2250Lot:36 ...,Completed (C)
17CVCP030K,575-581 4th Avenue,Brooklyn,581 4th Avenue,Block: 1052Lot:1 ...,Completed (C)
15CVCP152K,417 Manhattan Avenue,Brooklyn,417 Manhattan Avenue,Block: 2723Lot:29,Completed (C)
16CVCP008K,299-301 Wallabout Street,Brooklyn,299 WALLABOUT STREET,Block: 2250Lot:41 ...,Completed (C)
15CVCP031K,153 Lorimer Street,Brooklyn,153 Lorimer Street,Block: 2242Lot:53,Completed (C)
15CVCP085K,196 Middleton Street,Brooklyn,196 Middleton Street,Block: 2242Lot:22,Completed (C)
15CVCP148K,Henry Apartments - Site A - 1676 Broadway,Brooklyn,1676 Broadway,Block: 1503Lot:29 ...,Completed (C)
15CVCP120K,Henry Apartments Site B - 8 Rockaway Avenue,Brooklyn,8 Rockaway Avenue,Block: 1507Lot:32 ...,Completed (C)
15CVCP118K,81-111 Junius Street,Brooklyn,81 Junius Street,Block: 3696Lot:1 ...,Completed (C)
15CVCP161K,1570 60th Street,Brooklyn,1570 60th Street,Block: 5516Lot:34 ...,Active (A)
14CVCP242K,608-620 Franklin Avenue (Franklin Avenue Lofts - Dean Street Side),Brooklyn,608 Franklin Avenue,Block: 1142Lot:48 ...,Completed (C)
15CVCP017K,6002 Fort Hamilton Parkway,Brooklyn,6002 Fort Hamilton Parkway,Block: 5715Lot:7501 ...,Completed (C)
15CVCP157K,583 Franklin Avenue,Brooklyn,583 FRANKLIN AVENUE,Block: 1199Lot:3,Completed (C)
14CVCP221K,225-227 Boerum Street aka 83 Bushwick Place,Brooklyn,83 Bushwick Place,Block: 3073Lot:97,Completed (C)
15CVCP050K,83 Grand Street,Brooklyn,83 Grand Street,Block: 2379Lot:44,Completed (C)
15CVCP014K,86 Fleet Place,Brooklyn,86 Fleet Place,Block: 2061Lot:50 ...,Completed (C)
15CVCP151K,840 Fulton Street,Brooklyn,840 Fulton Street,Block: 2010Lot:25,Completed (C)
13CVCP149K,1875 Atlantic Avenue,Brooklyn,1875 Atlantic Avenue,Block: 1713Lot:7,Completed (C)
14CVCP236K,170-174 West Street,Brooklyn,174 West Street,Block: 2521Lot:5 ...,Completed (C)
14CVCP216K,1007 Atlantic Avenue,Brooklyn,1007 Atlantic Avenue,Block: 2019Lot:55,Completed (C)
14CVCP210K,113 Flatbush Avenue,Brooklyn,113 Flatbush Avenue,Block: 2110Lot:3 ...,Completed (C)
14CVCP217K,670-678 Pacific Street - DOB Job No. NB- 320900566,Brooklyn,607 Pacific Street,Block: 1128Lot:9 ...,Completed (C)
14CVCP227K,882 Fulton Street (502-506 Waverly),Brooklyn,882 Fulton Street,Block: 2011Lot:30,Completed (C)
14CVCP215K,180 Myrtle Avenue,Brooklyn,180 Myrtle Avenue,Block: 2061Lot:1 ...,Completed (C)
14CVCP177K,72 Box Street,Brooklyn,72 Box Street,Block: 2483Lot:25,Completed (C)
14CVCP205K,596 Washington Avenue,Brooklyn,596 Washington Avenue,Block: 2012Lot:62 ...,Completed (C)
15CVCP039K,120 Kings Highway,Brooklyn,120 Kings Highway,Block: 6253Lot:28 ...,Completed (C)
15CVCP013K,96 North 1st Street,Brooklyn,96 North 1st Street,Block: 2379Lot:13,Active (A)
14CVCP256K,4907-4709 4th Avenue,Brooklyn,4907 4th Avenue,Block: 783Lot:6,Completed (C)
15CVCP139K,69 Hope Street,Brooklyn,69 Hope Street,Block: 2369Lot:37,Active (A)
14CVCP228K,635 4th Avenue,Brooklyn,635 4th Avenue,Block: 634Lot:1,Completed (C)
16CVCP007K,56 Frost Street,Brooklyn,56 Frost Street,Block: 2737Lot:10,Completed (C)
15CVCP024K,171-173 Bayard Street,Brooklyn,173 Bayard Street,Block: 2720Lot:43 ...,Completed (C)
15CVCP108K,4202 18th Avenue,Brooklyn,4202 18th Avenue,Block: 5409Lot:30,Completed (C)
14CVCP231K,235-237 Kent Avenue,Brooklyn,235 Kent Avenue,Block: 2378Lot:1 ...,Completed (C)
14CVCP237K,51-59 South 4th Street,Brooklyn,51 South 4th Street,Block: 2428Lot:28 ...,Completed (C)
15CVCP083K,406 - 408 Manhattan Avenue,Brooklyn,408 Manhattan Avenue,Block: 2734Lot:4 ...,Completed (C)
14CVCP218K,434 Manhattan Ave,Brooklyn,434 Manhattan Avenue,Block: 2724Lot:7,Completed (C)
14CVCP174K,79 Clay Street,Brooklyn,79 Clay Street,Block: 2483Lot:61 ...,Completed (C)
15CVCP008K,207 North 8th Street,Brooklyn,207 North 8th Street,Block: 2313Lot:27,Active (A)
14CVCP240K,275 4th Avenue,Brooklyn,275 4th Avenue,Block: 964Lot:1 ...,Completed (C)
14CVCP188K,56 Box Street - DOB Job No. 320842237,Brooklyn,56 Box Street,Block: 2483Lot:17,Completed (C)
15CVCP003K,Domino Sugar Site B,Brooklyn,280 Kent Avenue,Block: 2414Lot:1,Active (A)
14CVCP260K,818 Lexington Avenue,Brooklyn,818 Lexington Avenue,Block: 1628Lot:21,Completed (C)
15CVCP012K,45 Walton Street,Brooklyn,45 Walton Street,Block: 2245Lot:62,Active (A)
15CVCP102K,1060 Bedford Avenue,Brooklyn,1060 Bedford Avenue,Block: 1954Lot:22 ...,Completed (C)
15CVCP048K,535 Flushing Ave.,Brooklyn,535 Flushing Avenue,Block: 2263Lot:52,Completed (C)
15CVCP002K,Domino Sugar Site A,Brooklyn,254 Kent Avenue,Block: 2414Lot:1 ...,Active (A)
14CVCP193K,BASIS Independent School - 556 Columbia Street,Brooklyn,556 Columbia Street,Block: 601Lot:17,Completed (C)
14CVCP225K,1-37 Forrest Street,Brooklyn,37 Forrest Street,Block: 3141Lot:1 ...,Completed (C)
14CVCP181K,200 Water Street,Brooklyn,200 Water Street,Block: 41Lot:13 ...,Completed (C)
18CVCP024K,687 Flushing Ave,Brooklyn,687 Flushing Avenue,Block: 2274Lot:24 ...,Active (A)
14CVCP190K,213 Maujer Street and 774-780 Grand Street,Brooklyn,213 Maujer Street,Block: 2790Lot:5 ...,Completed (C)
14CVCP180K,177 Front Street,Brooklyn,177 Front Street,Block: 41Lot:42 ...,Completed (C)
15CVCP058K,120 Union Avenue,Brooklyn,120 Union Avenue,Block: 2238Lot:49,Completed (C)
14CVCP212K,116 Walton Street,Brooklyn,116 Walton Street,Block: 2250Lot:25,Completed (C)
14CVCP184K,151 Lorimer Street - DOB Job No. 320965354,Brooklyn,151 Lorimer Street,Block: 2242Lot:54 ...,Completed (C)
14CVCP244K,Bush Terminal,Brooklyn,5102 1ST AVENUE,Block: 725Lot:1,Active (A)
16CVCP014K,1146 Fulton Street,Brooklyn,1146 Fulton Street,Block: 2017Lot:8,Completed (C)
14CVCP192K,"1328 Fulton Street ""Fulton South""",Brooklyn,1328 Fulton Street,Block: 1861Lot:119,Completed (C)
14CVCP157K,1035 Fulton Street,Brooklyn,1035 Fulton Street,Block: 1992Lot:12 ...,Completed (C)
13CVCP098K,45 India Street,Brooklyn,45 India Street,Block: 2531Lot:35,Completed (C)
15CVCP033K,531 Waverly Avenue,Brooklyn,531 Waverly Avenue,Block: 2012Lot:1 ...,Completed (C)
14CVCP167K,1225 Atlantic Avenue,Brooklyn,1225 Atlantic Avenue,Block: 1866Lot:23 ...,Completed (C)
13CVCP113K,186 Greenpoint Avenue,Brooklyn,186 Greenpoint Avenue,Block: 2575Lot:5,Completed (C)
15CVCP164K,2633 Ocean Avenue,Brooklyn,2633 Ocean Avenue,Block: 7381Lot:1 ...,Completed (C)
14CVCP224K,566 Carroll Street,Brooklyn,566 Carroll Street,Block: 961Lot:7,Completed (C)
14CVCP214K,28 - 46 Roebling Street,Brooklyn,28 Roebling Street,Block: 2306Lot:18 ...,Completed (C)
14CVCP185K,767 Bergen Street - DOB Job No. 320576658 & 320576649,Brooklyn,767 Bergen Street,Block: 1140Lot:48 ...,Completed (C)
14CVCP172K,137 Bayard Street,Brooklyn,137 Bayard Street,Block: 2719Lot:32,Completed (C)
13CVCP146K,125 Borinquen Place,Brooklyn,125 Borinquen Place,Block: 2411Lot:1 ...,Completed (C)
13CVCP139K,62 Box Street,Brooklyn,62 Box Street,Block: 2483Lot:20,Completed (C)
14CVCP165K,219-223 North 8th Street (230 North 9th Street) - DOB Job No. NB - 320576989320577247 and 340125616,Brooklyn,230 North 9th Street,Block: 2313Lot:11 ...,Completed (C)
13CVCP118K,291 Metropolitan Avenue - DOB Job No. NB - 320545362,Brooklyn,291 Metropolitan Avenue,Block: 2353Lot:13,Completed (C)
13CVCP097K,"823 Bedford Avenue - ""Satmar Meat""",Brooklyn,823 Bedford Avenue,Block: 1734Lot:59,Completed (C)
