Project ID,Name,Borough,Address,Block & Lot,Project Class
"19TMP0447K, 19ENOS132K",31 DIVISION AVENUE,Brooklyn,31 DIVISION AVENUE,"Block: 2159, Lot:2",Completed (C)
"19TMP0339K, 19CVCP027K",651 - 671 Gates Avenue,Brooklyn,651 - 671 GATES AVENUE,"Block: 1811, Lot:19 ...",Completed (C)
"19TMP0187K, 19EA-N067K",114 SUYDAM STREET,Brooklyn,114 SUYDAM STREET,"Block: 3217, Lot:10",Completed (C)
"19TMP0163K, 19RHAZ060K, 19TMP0868K (MERGED), 19TMP1915K (MERGED), 19TMP2078K (MERGED), 20CVCP034K, 21TMP0748K (MERGED), 21TMP1194K (MERGED), 22TMP0419K (MERGED)",63-71 Bridge Street,Brooklyn,63-71 BRIDGE STREET,"Block: 42, Lot:1 ...",Hold (H)
"19TMP0102K, 19ENOS045K",860 PUTNAM AVENUE,Brooklyn,860 PUTNAM AVENUE,"Block: 1652, Lot:134",Completed (C)
"23TMP0398K, 23EH-A063K",444 Carroll Street,Brooklyn,444 CARROLL STREET,"Block: 453, Lot:26",Active (A)
"19TMP0059K, 19EHAZ033K, 19CVCP020K, 23TMP0587K (MERGED)",1458-1460 FLATBUSH AVENUE,Brooklyn,1458-1460 FLATBUSH AVENUE,"Block: 5249, Lot:58 ...",Completed (C)
"19TMP0033K, 19EH-N113K, 19CVCP068K",842-846 FLUSHING AVENUE,Brooklyn,842-848 FLUSHING AVENUE,"Block: 3138, Lot:20 ...",Completed (C)
"19TMP0019K, 19RHAZ019K",289 North 6th Street,Brooklyn,289 NORTH 6TH STREET,"Block: 2331, Lot:20",Active (A)
"18TMP1470K, 18EHAN493K, 19TMP1472K (MERGED)",50 NEVINS STREET,Brooklyn,50 NEVINS STREET,"Block: 172, Lot:37 ...",Active (A)
"18TMP1429K, 18EHAN480K, 19CVCP033K, 21TMP0790K (MERGED), 22TMP1657K (MERGED), 23TMP0090K (MERGED)",2618 Fulton Street,Brooklyn,2618 FULTON STREET,"Block: 3669, Lot:13 ...",Completed (C)
"18TMP1417K, 18EH-N489K",33 TRUXTON STREET,Brooklyn,33 TRUXTON STREET,"Block: 1543, Lot:1 ...",Active (A)
"18TMP1402K, 18RHAN479K, 19CVCP022K",161 HARRISON AVENUE,Brooklyn,161 HARRISON AVENUE,"Block: 2250, Lot:4",Active (A)
"18TMP1382K, 19CVCP021K",174 KINGS HIGHWAY,Brooklyn,166 KINGS HIGHWAY,"Block: 6619, Lot:42",Active (A)
"18TMP1369K, 19ENOS059K",428 WYTHE AVENUE,Brooklyn,428 WYTHE AVENUE,"Block: 2469, Lot:16 ...",Completed (C)
"18TMP1329K, 18EH-N439K, 19CVCP060K, 19TMP1546K (MERGED)",975 MANHATTAN AVENUE,Brooklyn,975 MANHATTAN AVENUE,"Block: 2532, Lot:46",Completed (C)
"18TMP1205K, 18ENOS429K",153 GRAND STREET,Brooklyn,153 GRAND STREET,"Block: 2380, Lot:32",Completed (C)
"18TMP1177K, 18EH-A406K, 19CVCP001K",777 GLENMORE AVENUE,Brooklyn,777 GLENMORE AVENUE,"Block: 3988, Lot:35",Completed (C)
"18TMP1129K, 18EH-A407K, 19CVCP002K",142-150 South Portland Avenue,Brooklyn,142-150 SOUTH PORTLAND AVE,"Block: 2003, Lot:37",Active (A)
"18TMP1123K, 18EH-N414K, 19CVCP006K",288-292 UNION AVENUE,Brooklyn,288-292 UNION AVENUE,"Block: 3022, Lot:3 ...",Completed (C)
"18TMP1115K, 18EHAZ393K, 18CVCP072K",40-48 COMMERCIAL STREET,Brooklyn,40-48 COMMERCIAL STREET,"Block: 2482, Lot:1 ...",Active (A)
"18TMP1109K, 18EHAZ390K",376 BEDFORD AVE,Brooklyn,376 BEDFORD AVE,"Block: 2443, Lot:29",Completed (C)
"18TMP0853K, 19CVCP007K, 22EH-N270K",233 Nevins Street,Brooklyn,236 BUTLER STREET,"Block: 412, Lot:6 ...",Completed (C)
"18TMP0843K, 18EAIR309K",1669 EAST 19TH STREET,Brooklyn,1669 EAST 19TH STREET,"Block: 6782, Lot:59 ...",Completed (C)
"18TMP0729K, 18EHAZ275K",346 METROPOLITAN AVENUE,Brooklyn,346 METROPOLITAN AVENUE,"Block: 2368, Lot:18",Completed (C)
"18TMP0709K, 18CVCP051K",98 3RD AVENUE,Brooklyn,98 3RD AVENUE,"Block: 388, Lot:31",Hold (H)
"18TMP0589K, 19CVCP079K",113 Hamilton Avenue,Brooklyn,113 HAMILTON AVENUE,"Block: 362, Lot:1",Completed (C)
"18TMP0572K, 18EHAZ262K",1905 SURF AVENUE,Brooklyn,1905 SURF AVENUE,"Block: 7060, Lot:1 ...",Completed (C)
"18TMP0555K, 18EH-N211K, 18CVCP048K",632 METROPOLITAN AVENUE,Brooklyn,632 METROPOLITAN AVENUE,"Block: 2762, Lot:17",Active (A)
"18TMP0463K, 18EH-N180K",570 NOSTRAND AVENUE,Brooklyn,570 Nostrand Avenue,"Block: 1865, Lot:62",Completed (C)
"18TMP0410K, 18EH-N164K, 18CVCP063K, 18TMP1491K (MERGED)",67 DUFFIELD STREET,Brooklyn,67 DUFFIELD STREET,"Block: 121, Lot:3",Completed (C)
"18TMP0362K, 18ENOS151K",164 METROPOLITAN AVENUE,Brooklyn,164 METROPOLITAN AVENUE,"Block: 2365, Lot:8 ...",Active (A)
"18TMP0361K, 18EH-N139K, 18CVCP040K",1026-1030 MANHATTAN AVENUE,Brooklyn,1026-1030 MANHATTAN AVENUE,"Block: 2513, Lot:3 ...",Active (A)
"18TMP0265K, 18EH-N108K, 18CVCP050K",522 GRAND STREET,Brooklyn,522 GRAND STREET,"Block: 2785, Lot:12",Completed (C)
"18TMP0259K, 18ENOS107K",19 Lorimer Street,Brooklyn,19 LORIMER STREET,"Block: 2240, Lot:71",Completed (C)
"18TMP0222K, 18EAIR092K",1709-1715 CONEY ISLAND AVENUE,Brooklyn,1709 CONEY ISLAND AVENUE,"Block: 6740, Lot:55 ...",Active (A)
"18TMP0144K, 18CVCP018K",2415 CHURCH AVE,Brooklyn,2415 CHURCH AVE,"Block: 5090, Lot:86 ...",Completed (C)
"18TMP0135K, 18EHAZ065K, 18CVCP030K",72 South Second Street,Brooklyn,72 SOUTH SECOND STREET,"Block: 2416, Lot:7",Active (A)
"18TMP0123K, 18EH-N063K, 19CVCP026K, 21TMP0867K (MERGED)",705 Franklin Avenue,Brooklyn,705 FRANKLIN AVENUE,"Block: 1231, Lot:1",Active (A)
23TMP0285K,9 NORTH 15TH,Brooklyn,9 NORTH 15TH,"Block: 2614, Lot:16",Inactive (I)
"18TMP0099K, 18EHAZ054K, 18CVCP034K",2570 FLATBUSH AVENUE,Brooklyn,2570 FLATBUSH AVENUE,"Block: 8590, Lot:31 ...",Completed (C)
"18TMP0088K, 18EH-N061K, 18CVCP043K",157 New Jersey Avenue,Brooklyn,157 NEW JERSEY AVENUE,"Block: 3671, Lot:43 ...",Active (A)
"18TMP0064K, 18EHAN037K, 18CVCP084K, 19TMP0628K (MERGED), 19TMP1320K (MERGED)",315 Linwood Street,Brooklyn,315 LINWOOD,"Block: 3971, Lot:19 ...",Completed (C)
"18TMP0039K, 18EHAZ023K, 19CVCP011K",153 GREEN STREET,Brooklyn,153 GREEN STREET,"Block: 2512, Lot:52",Completed (C)
18TMP0024K,8 WALWORTH STREET - RCRA Interim Status Site,Brooklyn,8 WALWORTH STREET,"Block: 1716, Lot:33",Inactive (I)
"17TMP0931K, 18EHAZ156K, 18CVCP038K",658 DRIGGS AVENUE,Brooklyn,658 DRIGGS AVENUE,"Block: 2366, Lot:21",Completed (C)
"17TMP0927K, 18EHAZ148K, 18CVCP032K, 21TMP0722K (MERGED)",625 Driggs Avenue,Brooklyn,625 DRIGGS AVENUE,"Block: 2353, Lot:6 ...",Completed (C)
"17TMP0850K, 17EH-N333K",96 Franklin Street,Brooklyn,96 FRANKLIN ST,"Block: 2569, Lot:2",Active (A)
"17TMP0797K, 19EHAN453K",West Street (Extension) - Greenpoint Landing,Brooklyn,16 DUPONT STREET,"Block: 2472, Lot:10 ...",Completed (C)
"17TMP0792K, 17EHAZ305K",31 FROST STREET,Brooklyn,31 FROST STREET,"Block: 2731, Lot:35 ...",Completed (C)
"17TMP0738K, 17EHAN350K, 18CVCP002K",1190 Fulton Street,Brooklyn,1190 FULTON STREET,"Block: 1860, Lot:6 ...",Completed (C)
"17TMP0734K, 18EAIR281K",360 WYTHE AVENUE,Brooklyn,356 WYTHE AVENUE,"Block: 2415, Lot:22 ...",Completed (C)
"17TMP0703K, 17EHAZ307K, 19TMP1419K (MERGED), 21TMP1105K (MERGED)",67 METROPOLITAN AVENUE,Brooklyn,67 METROPOLITAN AVENUE,"Block: 2357, Lot:25",Active (A)
"17TMP0699K, 17ENOS282K",625 / 625A HALSEY STREET,Brooklyn,625A HALSEY STREET,"Block: 1662, Lot:59 ...",Completed (C)
"17TMP0623K, 17EHAZ266K, 18CVCP014K",1048 MANHATTAN AVENUE,Brooklyn,1048 MANHATTAN AVENUE,"Block: 2505, Lot:2",Completed (C)
"17TMP0606K, 17EH-N247K, 18CVCP016K",2437 PITKIN AVENUE,Brooklyn,2437 PITKIN AVENUE,"Block: 4003, Lot:35",Completed (C)
"17TMP0600K, 17EHAZ240K, 18CVCP009K",820 GLENMORE AVENUE,Brooklyn,820 GLENMORE AVENUE,"Block: 4006, Lot:13 ...",Completed (C)
