street_address,laboratory,lab_data_availability,sample_id,collection_date,analysis_date,parameter,ppbv_results,ppbv_rl,ppbv_mdl,ug_m3_results,ug_m3_rl,ug_m3_mdl,dilution
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Dichlorodifluoromethane,0.286,0.2,--,1.41,0.989,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Chloromethane,0.893,0.2,--,1.84,0.413,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",ND,0.05,--,ND,0.349,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Vinyl chloride,0.035,0.02,--,0.09,0.051,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,3-Butadiene",ND,0.02,--,ND,0.044,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Bromomethane,ND,0.02,--,ND,0.078,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Chloroethane,0.117,0.1,--,0.309,0.264,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Ethyl Alcohol,130,5,--,245,9.42,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Vinyl bromide,ND,0.2,--,ND,0.874,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Acetone,227,1,--,539,2.38,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Trichlorofluoromethane,0.286,0.05,--,1.61,0.281,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,iso-Propyl Alcohol,6.4,0.5,--,15.7,1.23,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,1-Dichloroethene",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,tert-Butyl Alcohol,4.82,0.5,--,14.6,1.52,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,"1,2-Dichloroethene (total)",ND,0.02,--,ND,0.079,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,Methylene chloride,1.81,0.5,--,6.29,1.74,--,1
63-71 Bridge Street,Alpha Analytical,Yes,SV-01,2019-05-31,2019-06-05,3-Chloropropene,ND,0.2,--,ND,0.626,--,1
