project_id,street_address,sample_id,laboratory,lab_data_availability,collection_date,analysis_date,parameter,ppbv_results,ppbv_rl,ug_m3_results,ug_m3_rl
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Propene,ND,2.5,ND,4.3
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Dichlorodifluoromethane(Freon12),1.9,2.5,9.4,12.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chloromethane,ND,2.5,ND,5.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichlorotetrafluoroethane(Freon114)",ND,2.5,ND,17.5
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Vinylchloride,ND,2.5,ND,6.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,3-Butadiene",ND,2.5,ND,5.5
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Bromomethane,ND,2.5,ND,9.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chloroethane,ND,2.5,ND,6.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Acetone,ND,2.5,ND,5.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Trichlorofluoromethane(Freon11),ND,2.5,ND,14
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Ethanol,ND,2.5,ND,4.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1-Dichloroethene",ND,2.5,ND,9.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Methylenechloride,5.7,2.5,19.8,8.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1,2-Trichlorotrifluoroethane(Freon113)",ND,2.5,ND,19.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Carbondisulfide,64.2,2.5,200,7.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"trans-1,2-Dichloroethene",ND,2.5,ND,9.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1-Dichloroethane",ND,2.5,ND,10.1
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Methyltert-butylether,ND,2.5,ND,9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Isopropylalcohol,ND,2.5,ND,6.1
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,2-Butanone(MEK),1.8,2.5,5.3,7.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"cis-1,2-Dichloroethene",ND,2.5,ND,9.9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Hexane,29.8,2.5,105,8.8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Ethylacetate,ND,2.5,ND,9
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Chloroform,10.8,2.5,52.6,12.2
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Tetrahydrofuran,ND,2.5,ND,7.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichloroethane",ND,2.5,ND,10.1
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,1,1-Trichloroethane",ND,2.5,ND,13.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Benzene,3.9,2.5,12.4,8
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Carbontetrachloride,ND,2.5,ND,15.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Cyclohexane,7.3,2.5,25.1,8.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,"1,2-Dichloropropane",ND,2.5,ND,11.6
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Bromodichloromethane,ND,2.5,ND,16.7
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,Trichloroethene,ND,2.5,ND,13.4
15CVCP014K,86 Fleet Place,AMB,Spectrum Analytical,Yes,2007-04-26,2007-04-30T00:00:00Z,n-Heptane,11.2,2.5,45.9,10.2
