street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
SV 1026-1030 Manhattan Ave,SV1,"1,1,1,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,1,2,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,1-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,1-Dichloroethene",ND,0.051,0.051,ND,0.20,0.20,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2,4-Trichlorobenzene",ND,0.135,0.135,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2,4-Trimethylbenzene",2.02,0.204,0.204,9.9,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2-Dibromoethane(EDB)",ND,0.130,0.130,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2-dichloropropane",ND,0.217,0.217,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,2-Dichlorotetrafluoroethane",ND,0.143,0.143,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,3,5-Trimethylbenzene",0.634,0.204,0.204,3.11,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,3-Butadiene",ND,0.452,0.452,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,3-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,4-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"1,4-Dioxane",ND,0.278,0.278,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,2-Hexanone(MBK),0.592,0.244,0.244,2.42,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,4-Ethyltoluene,0.489,0.204,0.204,2.40,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,4-Isopropyltoluene,ND,0.182,0.182,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,4-Methyl-2-pentanone(MIBK),1.14,0.244,0.244,4.67,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Acetone,13.9,0.421,0.421,33.0,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Acrylonitrile,ND,0.461,0.461,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Benzene,0.735,0.313,0.313,2.35,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Benzyl chloride,ND,0.193,0.193,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Bromodichloromethane,ND,0.149,0.149,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Bromoform,ND,0.097,0.097,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Bromomethane,ND,0.258,0.258,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Carbon Disulfide,12.7,0.321,0.321,39.5,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Carbon Tetrachloride,0.070,0.032,0.032,0.44,0.20,0.20,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Chlorobenzene,ND,0.217,0.217,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Chloroethane,ND,0.379,0.379,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Chloroform,ND,0.205,0.205,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Chloromethane,ND,0.485,0.485,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"Cis-1,2-Dichloroethene",0.059,0.051,0.051,0.23,0.20,0.20,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,"cis-1,3-Dichloropropene",ND,0.221,0.221,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Cyclohexane,0.380,0.291,0.291,1.31,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Dibromochloromethane,ND,0.118,0.118,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Dichlorodifluoromethane,0.506,0.202,0.202,2.50,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Ethanol,82.8,E  0.531,0.531,156,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Ethyl acetate,0.320,0.278,0.278,1.15,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Ethylbenzene,1.33,0.230,0.230,5.77,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Heptane,0.493,0.244,0.244,2.02,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Hexachlorobutadiene,ND,0.094,0.094,ND,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Hexane,0.641,S  0.284,0.284,2.26,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Isopropylalcohol,1.77,0.407,0.407,4.35,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
SV 1026-1030 Manhattan Ave,SV1,Isopropylbenzene,0.279,0.204,0.204,1.37,1.00,1.00,2017-11-01T04:00:00Z,KCA,1
