street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
1048 MANHATTAN AVE.,SS1,"1,1,1,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,1,2,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,1-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,1-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2,4-Trichlorobenzene",ND,0.135,0.135,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2,4-Trimethylbenzene",0.899,0.204,0.204,4.42,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2-Dibromoethane(EDB)",ND,0.130,0.130,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2-dichloropropane",ND,0.217,0.217,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,2-Dichlorotetrafluoroethane",ND,0.143,0.143,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,3,5-Trimethylbenzene",0.282,0.204,0.204,1.39,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,3-Butadiene",ND,0.452,0.452,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,3-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,4-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"1,4-Dioxane",ND,0.278,0.278,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,2-Hexanone(MBK),ND,0.244,0.244,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,4-Ethyltoluene,ND,0.204,0.204,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,4-Isopropyltoluene,ND,0.182,0.182,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,4-Methyl-2-pentanone(MIBK),ND,0.244,0.244,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Acetone,19.1,0.421,0.421,45.3,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Acrylonitrile,ND,0.461,0.461,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Benzene,0.632,0.313,0.313,2.02,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Benzyl chloride,ND,0.193,0.193,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Bromodichloromethane,ND,0.149,0.149,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Bromoform,ND,0.097,0.097,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Bromomethane,ND,0.258,0.258,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Carbon Disulfide,ND,0.321,0.321,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Carbon Tetrachloride,0.050,0.040,0.040,0.31,0.25,0.25,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Chlorobenzene,ND,0.217,0.217,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Chloroethane,ND,0.379,0.379,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Chloroform,1.02,0.205,0.205,4.98,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Chloromethane,ND,0.485,0.485,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"Cis-1,2-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"cis-1,3-Dichloropropene",ND,0.221,0.221,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Cyclohexane,ND,0.291,0.291,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Dibromochloromethane,ND,0.118,0.118,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Dichlorodifluoromethane,0.485,0.202,0.202,2.40,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Ethanol,116,E  0.531,0.531,218,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Ethyl acetate,0.348,0.278,0.278,1.25,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Ethylbenzene,4.65,0.230,0.230,20.2,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Heptane,0.701,0.244,0.244,2.87,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Hexachlorobutadiene,ND,0.094,0.094,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Hexane,0.889,S  0.284,0.284,3.13,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Isopropylalcohol,0.992,0.407,0.407,2.44,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,Isopropylbenzene,ND,0.204,0.204,ND,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
1048 MANHATTAN AVE.,SS1,"m,p-Xylene",18.1,0.230,0.230,78.5,1.00,1.00,2017-06-01T04:00:00Z,KCA,1
