street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 1050-1066 Manhattan Avenue,SG 6,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,1,1-Trichloroethane",0.52,0.183,2.84,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,1,2-Trichloroethane",ND,0.183,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,1-Dichloroethane",1.01,0.247,4.09,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,1-Dichloroethene",ND,0.252,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2,4-Trimethylbenzene",0.79600000000000004,0.20399999999999999,3.91,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2-Dichloroethane",ND,0.247,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2-dichloropropane",ND,0.217,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,3,5-Trimethylbenzene",0.30599999999999999,0.20399999999999999,1.5,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,3-Dichlorobenzene",0.51500000000000001,0.16600000000000001,3.09,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2017-08-08T04:00:00Z,DD,phoenix
SV 1050-1066 Manhattan Avenue,SG 6,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2017-08-08T04:00:00Z,DD,phoenix
