street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 1096 Broadway,SV3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,1,1-Trichloroethane",ND,0.183,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,1-Dichloroethane",ND,0.247,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,1-Dichloroethene",ND,0.252,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2,4-Trichlorobenzene",0.56000000000000005,0.13500000000000001,4.1500000000000004,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2,4-Trimethylbenzene",4.58,0.20399999999999999,22.5,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2-Dichloroethane",ND,0.247,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2-dichloropropane",ND,0.217,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,3,5-Trimethylbenzene",1.58,0.20399999999999999,7.76,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,3-Dichlorobenzene",7.34,0.16600000000000001,44.1,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,4-Ethyltoluene,1.1000000000000001,0.20399999999999999,5.4,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,4-Isopropyltoluene,0.221,0.182,1.21,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,4-Methyl-2-pentanone(MIBK),0.50700000000000001,0.24399999999999999,2.08,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Acetone,69.099999999999994,2.11,164,5.01,2017-02-27T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Acrylonitrile,ND,0.46100000000000002,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Benzene,1.36,0.313,4.34,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Benzyl chloride,ND,0.193,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Bromodichloromethane,ND,0.14899999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Bromoform,ND,9.7000000000000003E-2,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Bromomethane,ND,0.25800000000000001,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Carbon Disulfide,ND,0.32100000000000001,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Carbon Tetrachloride,7.0000000000000007E-2,0.04,0.44,0.25,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Chlorobenzene,ND,0.217,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Chloroethane,ND,0.379,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Chloroform,2.46,0.20499999999999999,12,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Chloromethane,ND,0.48499999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Cyclohexane,ND,0.29099999999999998,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Dibromochloromethane,ND,0.11799999999999999,ND,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Dichlorodifluoromethane,0.495,0.20200000000000001,2.4500000000000002,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Ethanol,24.5,0.53100000000000003,46.1,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Ethyl acetate,1.46,0.27800000000000002,5.26,1,2017-02-26T05:00:00Z,KCA,phoenix
SV 1096 Broadway,SV3,Ethylbenzene,4.8499999999999996,0.23,21,1,2017-02-26T05:00:00Z,KCA,phoenix
