street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 1146 Fulton Street,SG1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,1,1-Trichloroethane",1.75,0.183,9.5,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,1-Dichloroethane",ND,0.247,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,1-Dichloroethene",ND,0.252,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2,4-Trimethylbenzene",0.73899999999999999,0.20399999999999999,3.63,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2-Dichloroethane",ND,0.247,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2-dichloropropane",ND,0.217,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
SV 1146 Fulton Street,SG1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2015-08-12T04:00:00Z,KCA,phoenix
