street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 137 Frost Street,SG1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,1-Dichloroethane",ND,0.247,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2,4-Trimethylbenzene",0.61799999999999999,0.20399999999999999,3.04,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2-Dichloroethane",ND,0.247,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2-dichloropropane",ND,0.217,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,3,5-Trimethylbenzene",0.246,0.20399999999999999,1.21,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
SV 137 Frost Street,SG1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2017-12-05T05:00:00Z,KCA,phoenix
