street_address,sample_id,parameter,ppbv_result,ug_m3_result,ug_m3_rl,date_time,by,lab,ppbv_rl
SV 141 Metropolitan Avenue,SS3,"1,1,1,2-Tetrachloroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,1,1-Trichloroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,1,2,2-Tetrachloroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,1,2-Trichloroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,1-Dichloroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,1-Dichloroethene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2,4-Trichlorobenzene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2,4-Trimethylbenzene",4.2,20.6,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2-Dibromoethane(EDB)",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2-Dichlorobenzene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2-Dichloroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2-dichloropropane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,2-Dichlorotetrafluoroethane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,3,5-Trimethylbenzene",1.33,6.53,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,3-Butadiene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,3-Dichlorobenzene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,4-Dichlorobenzene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"1,4-Dioxane",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,2-Hexanone(MBK),ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,4-Ethyltoluene,1.1399999999999999,5.6,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,4-Isopropyltoluene,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,4-Methyl-2-pentanone(MIBK),0.26,1.06,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Acetone,27.6,65.5,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Acrylonitrile,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Benzene,8.59,27.4,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Benzyl chloride,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Bromodichloromethane,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Bromoform,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Bromomethane,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Carbon Disulfide,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Carbon Tetrachloride,0.10100000000000001,0.64,0.25,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Chlorobenzene,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Chloroethane,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Chloroform,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Chloromethane,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"Cis-1,2-Dichloroethene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"cis-1,3-Dichloropropene",ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Cyclohexane,12.8,44,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Dibromochloromethane,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Dichlorodifluoromethane,0.51900000000000002,2.56,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Ethanol,533,1000,5.01,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Ethyl acetate,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Ethylbenzene,30.5,132,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Heptane,9.91,40.6,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Hexachlorobutadiene,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Hexane,18.8,66.2,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Isopropylalcohol,3.73,9.16,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Isopropylbenzene,0.46600000000000003,2.29,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,"m,p-Xylene",143,621,4.99,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Methyl Ethyl Ketone,1.35,3.98,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Methyl tert-butyl ether(MTBE),ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Methylene Chloride,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,n-Butylbenzene,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,o-Xylene,34,148,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
SV 141 Metropolitan Avenue,SS3,Propylene,ND,ND,1,2016-03-24T04:00:00Z,KCA,phoenix,NA
