street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 1457-1471 Flatbush Avenue,SS1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,1-Dichloroethane",ND,0.247,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2,4-Trichlorobenzene",0.25600000000000001,0.13500000000000001,1.9,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2,4-Trimethylbenzene",0.35499999999999998,0.20399999999999999,1.74,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2-Dichloroethane",ND,0.247,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2-dichloropropane",ND,0.217,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,4-Dichlorobenzene",0.51500000000000001,0.16600000000000001,3.09,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,4-Isopropyltoluene,ND,0.182,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Acetone,85,2.11,202,5.01,2018-04-20T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Benzene,ND,0.313,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Benzyl chloride,ND,0.193,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Bromomethane,ND,0.25800000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Carbon Disulfide,ND,0.32100000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Carbon Tetrachloride,5.2999999999999999E-2,3.2000000000000001E-2,0.33,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Chlorobenzene,ND,0.217,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Chloroethane,ND,0.379,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Chloroform,ND,0.20499999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Chloromethane,ND,0.48499999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Cyclohexane,ND,0.29099999999999998,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Dichlorodifluoromethane,0.35099999999999998,0.20200000000000001,1.73,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Ethanol,62.6,E  0.531,118,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Ethyl acetate,ND,0.27800000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Ethylbenzene,0.35699999999999998,0.23,1.55,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Heptane,0.51800000000000002,0.24399999999999999,2.12,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Hexane,2.27,S  0.284,8,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Isopropylalcohol,3.58,0.40699999999999997,8.7899999999999991,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"m,p-Xylene",1.27,0.23,5.51,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Methyl Ethyl Ketone,2.84,0.33900000000000002,8.3699999999999992,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,n-Butylbenzene,ND,0.182,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,o-Xylene,0.45500000000000002,0.23,1.97,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Propylene,0.93799999999999994,0.58099999999999996,1.61,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,sec-Butylbenzene,ND,0.182,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Styrene,ND,0.23499999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Tetrachloroethene,0.49399999999999999,3.6999999999999998E-2,3.35,0.25,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Toluene,11.9,0.26600000000000001,44.8,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Trichloroethene,ND,3.6999999999999998E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Trichlorofluoromethane,0.24299999999999999,0.17799999999999999,1.36,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,Vinyl Chloride,ND,7.8E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SS1,% Bromofluorobenzene,105,%,105,%,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,1-Dichloroethane",ND,0.247,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2,4-Trichlorobenzene",0.70799999999999996,0.13500000000000001,5.25,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2,4-Trimethylbenzene",0.60899999999999999,0.20399999999999999,2.99,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2-Dichloroethane",ND,0.247,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2-dichloropropane",ND,0.217,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,3-Dichlorobenzene",6.02,0.16600000000000001,36.200000000000003,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,4-Isopropyltoluene,ND,0.182,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Acetone,356,4.21,845,10,2018-04-20T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Benzene,1,0.313,3.19,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Benzyl chloride,ND,0.193,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Bromomethane,ND,0.25800000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Carbon Disulfide,ND,0.32100000000000001,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Carbon Tetrachloride,ND,3.2000000000000001E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Chlorobenzene,ND,0.217,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Chloroethane,ND,0.379,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Chloroform,ND,0.20499999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Chloromethane,ND,0.48499999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Cyclohexane,ND,0.29099999999999998,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Dichlorodifluoromethane,0.42599999999999999,0.20200000000000001,2.11,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Ethanol,42.2,E  0.531,79.5,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Ethyl acetate,ND,0.27800000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Ethylbenzene,0.68700000000000006,0.23,2.98,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Heptane,ND,0.24399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Hexane,ND,0.28399999999999997,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Isopropylalcohol,1.92,0.40699999999999997,4.72,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,"m,p-Xylene",2.35,0.23,10.199999999999999,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Methyl Ethyl Ketone,9.57,0.33900000000000002,28.2,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,n-Butylbenzene,ND,0.182,ND,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,o-Xylene,1.07,0.23,4.6399999999999997,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,Propylene,3.06,0.58099999999999996,5.26,1,2018-04-19T04:00:00Z,DD,phoenix
SV 1457-1471 Flatbush Avenue,SV1,sec-Butylbenzene,ND,0.182,ND,1,2018-04-19T04:00:00Z,DD,phoenix
