street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,1-Dichloroethane",ND,0.247,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2,4-Trimethylbenzene",0.50800000000000001,0.20399999999999999,2.5,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2-Dichloroethane",ND,0.247,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2-dichloropropane",ND,0.217,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,4-Dichlorobenzene",0.222,0.16600000000000001,1.33,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,4-Ethyltoluene,0.41799999999999998,0.20399999999999999,2.0499999999999998,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,4-Isopropyltoluene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,4-Methyl-2-pentanone(MIBK),3.4,0.24399999999999999,13.9,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Acetone,8.94,0.42099999999999999,21.2,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Benzene,ND,0.313,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Benzyl chloride,ND,0.193,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Bromodichloromethane,0.375,0.14899999999999999,2.5099999999999998,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Bromomethane,ND,0.25800000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Carbon Disulfide,ND,0.32100000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Carbon Tetrachloride,0.17699999999999999,3.2000000000000001E-2,1.1100000000000001,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Chlorobenzene,ND,0.217,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Chloroethane,0.74299999999999999,0.379,1.96,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Chloroform,22.1,0.20499999999999999,108,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Chloromethane,ND,0.48499999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Cyclohexane,ND,0.29099999999999998,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Dichlorodifluoromethane,0.53600000000000003,0.20200000000000001,2.65,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Ethanol,48.2,E  0.531,90.8,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Ethyl acetate,ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Ethylbenzene,0.313,0.23,1.36,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Heptane,ND,0.24399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Hexane,ND,0.28399999999999997,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Isopropylalcohol,0.88200000000000001,0.40699999999999997,2.17,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Isopropylbenzene,ND,0.20399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,"m,p-Xylene",1.22,0.23,5.29,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Methyl Ethyl Ketone,3.97,0.33900000000000002,11.7,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,n-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,o-Xylene,0.46800000000000003,0.23,2.0299999999999998,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 3,Propylene,ND,0.58099999999999996,ND,1,2018-08-06T04:00:00Z,KCA,1
