street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
1516 FULTON ST BROOKLYN,SG4,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,1-Dichloroethane",ND,0.247,0.247,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,1-Dichloroethene",ND,0.252,0.252,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,0.13500000000000001,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2,4-Trimethylbenzene",3.09,0.20399999999999999,0.20399999999999999,15.2,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2-Dibromoethane(EDB)",ND,0.13,0.13,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2-Dichlorobenzene",ND,0.16600000000000001,0.16600000000000001,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2-Dichloroethane",ND,0.247,0.247,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2-dichloropropane",ND,0.217,0.217,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,0.14299999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,3,5-Trimethylbenzene",0.78600000000000003,0.20399999999999999,0.20399999999999999,3.86,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,3-Butadiene",ND,0.45200000000000001,0.45200000000000001,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,3-Dichlorobenzene",0.378,0.16600000000000001,0.16600000000000001,2.27,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,4-Dichlorobenzene",ND,0.16600000000000001,0.16600000000000001,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"1,4-Dioxane",ND,0.27800000000000002,0.27800000000000002,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,2-Hexanone(MBK),ND,0.24399999999999999,0.24399999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,4-Ethyltoluene,0.746,0.20399999999999999,0.20399999999999999,3.66,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,4-Isopropyltoluene,ND,0.182,0.182,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,0.24399999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Acetone,5.96,0.42099999999999999,0.42099999999999999,14.1,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Acrylonitrile,ND,0.46100000000000002,0.46100000000000002,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Benzene,0.50900000000000001,0.313,0.313,1.63,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Benzyl chloride,ND,0.193,0.193,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Bromodichloromethane,ND,0.14899999999999999,0.14899999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Bromoform,ND,9.7000000000000003E-2,9.7000000000000003E-2,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Bromomethane,ND,0.25800000000000001,0.25800000000000001,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Carbon Disulfide,ND,0.32100000000000001,0.32100000000000001,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Carbon Tetrachloride,4.7E-2,0.04,0.04,0.3,0.25,0.25,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Chlorobenzene,ND,0.217,0.217,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Chloroethane,ND,0.379,0.379,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Chloroform,ND,0.20499999999999999,0.20499999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,Chloromethane,ND,0.48499999999999999,0.48499999999999999,ND,1,1,2015-11-05T05:00:00Z,KCA,1
1516 FULTON ST BROOKLYN,SG4,"Cis-1,2-Dichloroethene",ND,0.252,0.252,ND,1,1,2015-11-05T05:00:00Z,KCA,1
