street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 153 Lorimer Street,SG1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,1-Dichloroethane",ND,0.247,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,1-Dichloroethene",ND,0.252,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2,4-Trimethylbenzene",0.36,0.20399999999999999,1.77,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2-Dichloroethane",ND,0.247,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2-dichloropropane",ND,0.216,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,2-Dichlorotetrafluoroethane",0.3,0.14299999999999999,2.1,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,3-Dichlorobenzene",0.46,0.16600000000000001,2.76,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,2-Hexanone(MBK),5.26,0.24399999999999999,21.5,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,4-Isopropyltoluene,ND,0.182,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
SV 153 Lorimer Street,SG1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2013-09-04T04:00:00Z,KCA,phoenix
