street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 1570 60th Street,SSV-1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,1,1-Trichloroethane",0.931,0.183,5.08,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2,4-Trimethylbenzene",0.987,0.204,4.85,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2-dichloropropane",ND,0.217,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,3,5-Trimethylbenzene",0.371,0.204,1.82,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,3-Butadiene",ND,0.452,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,"1,4-Dioxane",ND,0.278,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,2-Hexanone(MBK),46.9,3.66,192,15.0,2015-04-18T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,4-Ethyltoluene,ND,0.204,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,4-Isopropyltoluene,ND,0.182,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
SV 1570 60th Street,SSV-1,4-Methyl-2-pentanone(MIBK),ND,0.244,ND,1.00,2015-04-17T04:00:00Z,KCA,phoenix
