street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 183 McGuinness Blvd,SV3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,1,1-Trichloroethane",ND,0.183,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,1-Dichloroethane",ND,0.247,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,1-Dichloroethene",ND,0.252,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2,4-Trichlorobenzene",3.35,0.13500000000000001,24.8,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2,4-Trimethylbenzene",1.81,0.20399999999999999,8.89,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2-Dichloroethane",ND,0.247,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2-dichloropropane",ND,0.217,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,3,5-Trimethylbenzene",0.85699999999999998,0.20399999999999999,4.21,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,3-Dichlorobenzene",267,1.66,1600,10,2017-01-24T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,2-Hexanone(MBK),2.35,0.24399999999999999,9.6,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,4-Ethyltoluene,2.85,0.20399999999999999,14,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,4-Isopropyltoluene,ND,0.182,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Acetone,131,4.21,311,10,2017-01-24T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Acrylonitrile,ND,0.46100000000000002,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Benzene,0.58399999999999996,0.313,1.86,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Benzyl chloride,ND,0.193,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Bromodichloromethane,ND,0.14899999999999999,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Bromoform,ND,9.7000000000000003E-2,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Bromomethane,ND,0.25800000000000001,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Carbon Disulfide,ND,0.32100000000000001,ND,1,2017-01-23T05:00:00Z,KCA,phoenix
SV 183 McGuinness Blvd,SV3,Carbon Tetrachloride,9.0999999999999998E-2,0.04,0.56999999999999995,0.25,2017-01-23T05:00:00Z,KCA,phoenix
