street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,1-Dichloroethane",ND,0.247,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,1-Dichloroethene",ND,0.252,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2,4-Trimethylbenzene",14.3,0.204,70.2,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2-Dichloroethane",ND,0.247,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2-dichloropropane",ND,0.216,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,3,5-Trimethylbenzene",3.94,0.204,19.4,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,3-Butadiene",ND,0.452,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,"1,4-Dioxane",ND,0.278,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,2-Hexanone(MBK),ND,0.244,ND,1.00,2013-05-09T04:00:00Z,KCA,phoenix
SV 1875 Atlantic Ave,S14-SOIL VAPOR 5,4-Ethyltoluene,10.2,0.204,50.1,1.00,2013-05-09T04:00:00Z,KCA,phoenix
