street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 196 MIddleton Street,SG-3,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2,4-Trimethylbenzene",0.860,0.204,4.22,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,3-Butadiene",ND,0.452,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,3-Dichlorobenzene",0.700,0.166,4.21,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"1,4-Dioxane",ND,0.278,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,2-Hexanone(MBK),ND,0.244,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,4-Ethyltoluene,ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,4-Isopropyltoluene,ND,0.182,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,4-Methyl-2-pentanone(MIBK),ND,0.244,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Acetone,291,0.421,691,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Acrylonitrile,ND,0.461,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Benzene,1.06,0.313,3.38,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Benzyl chloride,ND,0.193,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Bromodichloromethane,ND,0.149,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Bromoform,ND,0.097,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Bromomethane,ND,0.258,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Carbon Disulfide,10.6,0.321,33.0,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Carbon Tetrachloride,0.040,0.040,0.251,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Chlorobenzene,ND,0.217,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Chloroethane,ND,0.379,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Chloroform,ND,0.205,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Chloromethane,ND,0.484,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"Cis-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"cis-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Cyclohexane,1.05,0.291,3.61,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Dibromochloromethane,ND,0.117,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Dichlorodifluoromethane,0.300,0.202,1.48,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Ethanol,57.2,0.531,108,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Ethyl acetate,ND,0.278,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Ethylbenzene,2.56,0.230,11.1,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Heptane,1.10,0.244,4.50,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Hexachlorobutadiene,ND,0.094,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Hexane,1.16,0.284,4.09,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Isopropylalcohol,2.10,0.407,5.16,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Isopropylbenzene,ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"m,p-Xylene",10.4,0.230,45.1,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Methyl Ethyl Ketone,8.63,0.339,25.4,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Methyl tert-butyl ether(MTBE),1.82,0.278,6.56,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Methylene Chloride,0.680,0.288,2.36,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,n-Butylbenzene,0.250,0.182,1.37,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,o-Xylene,3.28,0.230,14.2,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Propylene,8.59,0.581,14.8,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,sec-Butylbenzene,ND,0.182,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Styrene,0.490,0.235,2.08,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Tetrachloroethene,1.23,0.037,8.34,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Tetrahydrofuran,ND,0.339,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Toluene,3.05,0.266,11.5,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"Trans-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,"trans-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Trichloroethene,0.060,0.047,0.322,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Trichlorofluoromethane,0.190,0.178,1.07,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Trichlorotrifluoroethane,ND,0.130,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,Vinyl Chloride,ND,0.098,ND,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-3,% Bromofluorobenzene,104,%,104,%,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2,4-Trimethylbenzene",0.820,0.204,4.03,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,3-Butadiene",ND,0.452,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,3-Dichlorobenzene",0.710,0.166,4.27,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"1,4-Dioxane",ND,0.278,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,2-Hexanone(MBK),ND,0.244,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,4-Ethyltoluene,ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,4-Isopropyltoluene,ND,0.182,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,4-Methyl-2-pentanone(MIBK),0.310,0.244,1.27,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Acetone,263,0.421,624,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Acrylonitrile,ND,0.461,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Benzene,1.58,0.313,5.04,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Benzyl chloride,ND,0.193,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Bromodichloromethane,ND,0.149,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Bromoform,ND,0.097,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Bromomethane,ND,0.258,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Carbon Disulfide,27.2,0.321,84.6,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Carbon Tetrachloride,0.060,0.040,0.377,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Chlorobenzene,ND,0.217,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Chloroethane,ND,0.379,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Chloroform,ND,0.205,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Chloromethane,ND,0.484,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"Cis-1,2-Dichloroethene",0.370,0.252,1.47,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"cis-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Cyclohexane,0.550,0.291,1.89,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Dibromochloromethane,ND,0.117,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Dichlorodifluoromethane,0.330,0.202,1.63,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Ethanol,52.2,0.531,98.3,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Ethyl acetate,ND,0.278,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Ethylbenzene,2.39,0.230,10.4,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Heptane,1.24,0.244,5.08,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Hexachlorobutadiene,ND,0.094,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Hexane,2.34,0.284,8.24,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Isopropylalcohol,3.51,0.407,8.62,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Isopropylbenzene,ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"m,p-Xylene",9.82,0.230,42.6,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Methyl Ethyl Ketone,13.1,0.339,38.6,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Methyl tert-butyl ether(MTBE),0.430,0.278,1.55,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Methylene Chloride,1.12,0.288,3.89,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,n-Butylbenzene,0.240,0.182,1.32,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,o-Xylene,3.10,0.230,13.4,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Propylene,ND,0.581,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,sec-Butylbenzene,ND,0.182,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Styrene,0.480,0.235,2.04,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Tetrachloroethene,0.410,0.037,2.78,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Tetrahydrofuran,ND,0.339,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Toluene,2.84,0.266,10.7,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,"trans-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Trichloroethene,0.300,0.047,1.61,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Trichlorofluoromethane,ND,0.178,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Trichlorotrifluoroethane,ND,0.130,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,Vinyl Chloride,ND,0.098,ND,0.25,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-2,% Bromofluorobenzene,107,%,107,%,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2,4-Trimethylbenzene",0.680,0.204,3.34,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,3-Butadiene",ND,0.452,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,3-Dichlorobenzene",0.260,0.166,1.56,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,"1,4-Dioxane",ND,0.278,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,2-Hexanone(MBK),4.79,0.244,19.6,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,4-Ethyltoluene,ND,0.204,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,4-Isopropyltoluene,ND,0.182,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,4-Methyl-2-pentanone(MIBK),ND,0.244,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,Acetone,349,0.421,828,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,Acrylonitrile,ND,0.461,ND,1.00,2014-10-06T04:00:00Z,KCA,phoenix
SV 196 MIddleton Street,SG-1,Benzene,0.930,0.313,2.97,1.00,2014-10-06T04:00:00Z,KCA,phoenix
