street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 20 Marcy Ave,SG 5,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,1-Dichloroethane",ND,0.247,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,1-Dichloroethene",ND,0.252,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2,4-Trimethylbenzene",1.99,0.204,9.8,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2-Dichloroethane",ND,0.247,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2-dichloropropane",ND,0.217,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,3,5-Trimethylbenzene",0.500,0.204,2.46,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,3-Butadiene",ND,0.452,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,"1,4-Dioxane",ND,0.278,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,2-Hexanone(MBK),ND,0.244,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,4-Ethyltoluene,0.331,0.204,1.63,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,4-Isopropyltoluene,ND,0.182,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,4-Methyl-2-pentanone(MIBK),0.438,0.244,1.79,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Acetone,129,S   4.21,306,10.0,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Acrylonitrile,ND,0.461,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Benzene,5.43,0.313,17.3,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Benzyl chloride,ND,0.193,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Bromodichloromethane,ND,0.149,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Bromoform,ND,0.097,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Bromomethane,ND,0.258,ND,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Carbon Disulfide,0.947,0.321,2.95,1.00,2015-04-14T04:00:00Z,KCA,phoenix
SV 20 Marcy Ave,SG 5,Carbon Tetrachloride,0.078,0.040,0.49,0.25,2015-04-14T04:00:00Z,KCA,phoenix
