street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution,lab
SV 241-245 4th Avenue,SV-3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,1,1-Trichloroethane",0.307,0.183,1.67,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,1-Dichloroethane",ND,0.247,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,1-Dichloroethene",ND,0.252,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2,4-Trimethylbenzene",0.36899999999999999,0.20399999999999999,1.81,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2-Dichloroethane",0.38500000000000001,0.247,1.56,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2-dichloropropane",ND,0.217,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,2-Hexanone(MBK),4.32,0.24399999999999999,17.7,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
SV 241-245 4th Avenue,SV-3,4-Isopropyltoluene,ND,0.182,ND,1,2016-02-12T05:00:00Z,KCA,0,phoenix
