street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
2437 PITKIN AVE,SV1,"1,1,1,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,1,2,2-Tetrachloroethane",ND,0.146,0.146,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,1-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,1-Dichloroethene",ND,0.252,0.252,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2,4-Trichlorobenzene",ND,0.135,0.135,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2,4-Trimethylbenzene",1.46,0.204,0.204,7.17,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2-Dibromoethane(EDB)",ND,0.130,0.130,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2-Dichloroethane",ND,0.247,0.247,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2-dichloropropane",ND,0.217,0.217,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,2-Dichlorotetrafluoroethane",ND,0.143,0.143,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,3,5-Trimethylbenzene",0.535,0.204,0.204,2.63,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,3-Butadiene",ND,0.452,0.452,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,3-Dichlorobenzene",0.256,0.166,0.166,1.54,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,4-Dichlorobenzene",ND,0.166,0.166,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,"1,4-Dioxane",ND,0.278,0.278,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,2-Hexanone(MBK),ND,0.244,0.244,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,4-Ethyltoluene,0.469,0.204,0.204,2.30,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,4-Isopropyltoluene,ND,0.182,0.182,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,4-Methyl-2-pentanone(MIBK),ND,0.244,0.244,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,Acetone,62.6,2.11,2.11,149,5.01,5.01,2017-06-13T04:00:00Z,KCA,5
2437 PITKIN AVE,SV1,Acrylonitrile,ND,0.461,0.461,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,Benzene,5.13,0.313,0.313,16.4,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,Benzyl chloride,ND,0.193,0.193,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,Bromodichloromethane,ND,0.149,0.149,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
2437 PITKIN AVE,SV1,Bromoform,ND,0.097,0.097,ND,1.00,1.00,2017-06-12T04:00:00Z,KCA,1
