street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution,lab
SV 288-292 Union Ave,SG2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,1-Dichloroethane",ND,0.247,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2,4-Trimethylbenzene",1.89,0.20399999999999999,9.2899999999999991,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2-Dichloroethane",ND,0.247,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2-dichloropropane",ND,0.217,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,3,5-Trimethylbenzene",0.92100000000000004,0.20399999999999999,4.5199999999999996,1,2018-06-09T04:00:00Z,KCA,1,phoenix
SV 288-292 Union Ave,SG2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-06-09T04:00:00Z,KCA,1,phoenix
