street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 313 Wallabout Street ,SS-1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2,4-Trimethylbenzene",0.280,0.204,1.38,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
SV 313 Wallabout Street ,SS-1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-11-03T05:00:00Z,KCA,phoenix
