street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 36-70 Noll,SG 12,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,1,1-Trichloroethane",1.09,0.183,5.94,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2,4-Trimethylbenzene",2.45,0.204,12.0,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,3,5-Trimethylbenzene",0.74,0.204,3.64,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,3-Butadiene",ND,0.452,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,3-Dichlorobenzene",0.47,0.166,2.82,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,"1,4-Dioxane",ND,0.278,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,2-Hexanone(MBK),5.44,0.244,22.3,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,4-Ethyltoluene,0.47,0.204,2.31,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,4-Isopropyltoluene,0.28,0.182,1.54,1.00,2014-04-29T04:00:00Z,KCA,phoenix
SV 36-70 Noll,SG 12,4-Methyl-2-pentanone(MIBK),ND,0.244,ND,1.00,2014-04-29T04:00:00Z,KCA,phoenix
