street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 376-382 Wallabout Street,SG 4,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,1,1-Trichloroethane",ND,0.183,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,1,2-Trichloroethane",ND,0.183,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,1-Dichloroethane",ND,0.247,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,1-Dichloroethene",ND,0.252,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2,4-Trimethylbenzene",1.5,0.20399999999999999,7.37,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2-Dichloroethane",ND,0.247,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2-dichloropropane",ND,0.216,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,3,5-Trimethylbenzene",0.5,0.20399999999999999,2.46,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,3-Dichlorobenzene",0.24,0.16600000000000001,1.44,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,4-Ethyltoluene,0.86,0.20399999999999999,4.22,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,4-Isopropyltoluene,ND,0.182,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,4-Methyl-2-pentanone(MIBK),0.44,0.24399999999999999,1.8,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Acetone,84.9,0.42099999999999999,202,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Acrylonitrile,ND,0.46100000000000002,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Benzene,6.47,0.313,20.6,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Benzyl chloride,ND,0.193,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Bromodichloromethane,ND,0.14899999999999999,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Bromoform,ND,9.7000000000000003E-2,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Bromomethane,ND,0.25800000000000001,ND,1,2013-05-31T04:00:00Z,KCA,phoenix
SV 376-382 Wallabout Street,SG 4,Carbon Disulfide,39,0.32100000000000001,121,1,2013-05-31T04:00:00Z,KCA,phoenix
