street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 45 Walton Street ,SS-1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,1,1-Trichloroethane",0.310,0.183,1.69,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2,4-Trimethylbenzene",1.35,0.204,6.63,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,3,5-Trimethylbenzene",0.430,0.204,2.11,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,3-Butadiene",ND,0.452,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,4-Dichlorobenzene",0.230,0.166,1.38,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,"1,4-Dioxane",ND,0.278,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,2-Hexanone(MBK),ND,0.244,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,4-Ethyltoluene,0.240,0.204,1.18,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,4-Isopropyltoluene,ND,0.182,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,4-Methyl-2-pentanone(MIBK),0.350,0.244,1.43,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,Acetone,1.87,0.421,4.44,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,Acrylonitrile,ND,0.461,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,Benzene,ND,0.313,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,Benzyl chloride,ND,0.193,ND,1.00,2014-05-02T04:00:00Z,KCA,phoenix
SV 45 Walton Street ,SS-1,Bromodichloromethane,ND,0.149,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Bromoform,ND,0.097,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Bromomethane,ND,0.258,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Carbon Disulfide,ND,0.321,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Carbon Tetrachloride,0.340,0.040,2.14,0.25,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Chlorobenzene,ND,0.217,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Chloroethane,ND,0.379,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Chloroform,136,0.205,664,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Chloromethane,ND,0.484,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,"Cis-1,2-Dichloroethene",50.2,0.252,199,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,"cis-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Cyclohexane,ND,0.291,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Dibromochloromethane,ND,0.117,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Dichlorodifluoromethane,0.640,0.202,3.16,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Ethanol,9.98,0.531,18.8,1.00,2014-05-02T04:00:00Z,NA,phoenix
SV 45 Walton Street ,SS-1,Ethyl acetate,ND,0.278,ND,1.00,2014-05-02T04:00:00Z,NA,phoenix
