street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 47 Walton Street,SS-1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,1,1-Trichloroethane",0.31,0.183,1.69,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,1-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,1-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2,4-Trimethylbenzene",1.35,0.20399999999999999,6.63,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2-dichloropropane",ND,0.216,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,3,5-Trimethylbenzene",0.43,0.20399999999999999,2.11,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,4-Dichlorobenzene",0.23,0.16600000000000001,1.38,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,4-Ethyltoluene,0.24,0.20399999999999999,1.18,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,4-Isopropyltoluene,ND,0.182,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,4-Methyl-2-pentanone(MIBK),0.35,0.24399999999999999,1.43,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Acetone,1.87,0.42099999999999999,4.4400000000000004,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Acrylonitrile,ND,0.46100000000000002,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Benzene,ND,0.313,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Benzyl chloride,ND,0.193,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Bromoform,ND,9.7000000000000003E-2,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Bromomethane,ND,0.25800000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Carbon Disulfide,ND,0.32100000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Carbon Tetrachloride,0.34,0.04,2.14,0.25,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Chlorobenzene,ND,0.217,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Chloroethane,ND,0.379,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Chloroform,136,0.20499999999999999,664,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Chloromethane,ND,0.48399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"Cis-1,2-Dichloroethene",50.2,0.252,199,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,"cis-1,3-Dichloropropene",ND,0.22,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Cyclohexane,ND,0.29099999999999998,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Dibromochloromethane,ND,0.11700000000000001,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Dichlorodifluoromethane,0.64,0.20200000000000001,3.16,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Ethanol,9.98,0.53100000000000003,18.8,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Ethyl acetate,ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Ethylbenzene,0.39,0.23,1.69,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Heptane,ND,0.24399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Hexane,ND,0.28399999999999997,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Isopropylalcohol,1.3,0.40699999999999997,3.19,1,2014-05-02T04:00:00Z,KCA,phoenix
SV 47 Walton Street,SS-1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2014-05-02T04:00:00Z,KCA,phoenix
