street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 5111 4th Avenue,SG-1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2,4-Trimethylbenzene",1.99,0.204,9.8,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2-dichloropropane",ND,0.217,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,3,5-Trimethylbenzene",0.503,0.204,2.47,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,3-Butadiene",ND,0.452,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,3-Dichlorobenzene",1.25,0.166,7.51,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,"1,4-Dioxane",ND,0.278,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,2-Hexanone(MBK),ND,0.244,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,4-Ethyltoluene,0.341,0.204,1.68,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,4-Isopropyltoluene,ND,0.182,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,4-Methyl-2-pentanone(MIBK),ND,0.244,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Acetone,ND,0.421,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Acrylonitrile,ND,0.461,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Benzene,0.558,0.313,1.78,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Benzyl chloride,ND,0.193,ND,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Bromodichloromethane,ND,0.149,NA,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Bromoform,ND,0.097,NA,1.00,2015-02-28T05:00:00Z,KCA,phoenix
SV 5111 4th Avenue,SG-1,Bromomethane,ND,0.258,NA,1.00,2015-02-28T05:00:00Z,KCA,phoenix
