street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 53 Grand Street,SG-3,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,1,1-Trichloroethane",0.310,0.183,1.69,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2,4-Trimethylbenzene",0.950,0.204,4.67,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,3,5-Trimethylbenzene",0.230,0.204,1.13,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,3-Butadiene",ND,0.452,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,"1,4-Dioxane",ND,0.278,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,2-Hexanone(MBK),3.23,0.244,13.2,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,4-Ethyltoluene,ND,0.204,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,4-Isopropyltoluene,ND,0.182,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,4-Methyl-2-pentanone(MIBK),1.51,0.244,6.18,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,Acetone,194,0.421,460,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,Acrylonitrile,ND,0.461,ND,1.00,2014-10-01T04:00:00Z,KCA,phoenix
SV 53 Grand Street,SG-3,Benzene,0.950,0.313,3.03,1.00,2014-10-01T04:00:00Z,KCA,phoenix
