street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 533-537 Flushing Avenue,SG 1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,1-Dichloroethane",ND,0.247,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,1-Dichloroethene",ND,0.252,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2,4-Trimethylbenzene",16.7,0.20399999999999999,82,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2-Dichloroethane",0.32,0.247,1.29,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2-dichloropropane",ND,0.216,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,3,5-Trimethylbenzene",9.0500000000000007,0.20399999999999999,44.5,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,4-Dichlorobenzene",28.7,0.16600000000000001,172,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,4-Ethyltoluene,7.52,0.20399999999999999,36.9,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,4-Isopropyltoluene,0.65,0.182,3.56,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2014-04-08T04:00:00Z,KCA,phoenix
SV 533-537 Flushing Avenue,SG 1,Acetone,398,0.42099999999999999,945,1,2014-04-08T04:00:00Z,KCA,phoenix
