street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 575-581 4th Ave,SG4,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,1-Dichloroethane",ND,0.247,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,1-Dichloroethene",ND,0.252,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2,4-Trimethylbenzene",0.629,0.204,3.09,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2-Dichlorobenzene",4.53,0.166,27.2,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2-Dichloroethane",ND,0.247,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2-dichloropropane",ND,0.217,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,3-Butadiene",ND,0.452,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,3-Dichlorobenzene",0.286,0.166,1.72,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,4-Dichlorobenzene",3.58,0.166,21.5,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,"1,4-Dioxane",ND,0.278,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,2-Hexanone(MBK),ND,0.244,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,4-Ethyltoluene,ND,0.204,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
SV 575-581 4th Ave,SG4,4-Isopropyltoluene,ND,0.182,ND,1.00,2016-09-03T04:00:00Z,KCA,phoenix
