street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution,lab
SV 578 5th Avenue,SV-1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,1,1-Trichloroethane",1.08,0.183,5.89,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,1-Dichloroethane",ND,0.247,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,1-Dichloroethene",ND,0.252,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2,4-Trimethylbenzene",1.35,0.20399999999999999,6.63,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2-Dichloroethane",ND,0.247,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2-dichloropropane",ND,0.217,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,3,5-Trimethylbenzene",0.38,0.20399999999999999,1.87,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,3-Dichlorobenzene",1.01,0.16600000000000001,6.07,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,4-Ethyltoluene,0.46200000000000002,0.20399999999999999,2.27,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,4-Isopropyltoluene,ND,0.182,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Acetone,9.16,0.42099999999999999,21.7,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Acrylonitrile,ND,0.46100000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Benzene,1.5,0.313,4.79,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Benzyl chloride,ND,0.193,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Bromoform,ND,9.7000000000000003E-2,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Bromomethane,ND,0.25800000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Carbon Disulfide,1.58,0.32100000000000001,4.92,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Carbon Tetrachloride,8.4000000000000005E-2,0.04,0.53,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Chlorobenzene,ND,0.217,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Chloroethane,ND,0.379,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Chloroform,0.223,0.20499999999999999,1.0900000000000001,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Chloromethane,ND,0.48499999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Cyclohexane,ND,0.29099999999999998,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Dibromochloromethane,ND,0.11799999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Dichlorodifluoromethane,2.62,0.20200000000000001,12.9,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Ethanol,19.399999999999999,0.53100000000000003,36.5,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Ethyl acetate,ND,0.27800000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Ethylbenzene,2.2400000000000002,0.23,9.6999999999999993,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Heptane,0.57499999999999996,0.24399999999999999,2.36,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Hexane,1.9,S  0.284,6.69,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Isopropylalcohol,10.8,0.40699999999999997,26.5,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"m,p-Xylene",6.78,0.23,29.4,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Methyl Ethyl Ketone,1.43,0.33900000000000002,4.21,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Methylene Chloride,1.1000000000000001,S  0.288,3.82,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,n-Butylbenzene,ND,0.182,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,o-Xylene,1.69,0.23,7.33,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Propylene,46.4,2.91,79.8,5.01,2016-09-09T04:00:00Z,KCA,5,phoenix
SV 578 5th Avenue,SV-1,sec-Butylbenzene,ND,0.182,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Styrene,ND,0.23499999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Tetrachloroethene,0.78300000000000003,3.6999999999999998E-2,5.31,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Toluene,6.48,0.26600000000000001,24.4,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Trichloroethene,ND,4.7E-2,ND,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Trichlorofluoromethane,3.61,0.17799999999999999,20.3,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-1,% Bromofluorobenzene,101,%,101,%,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,1,1-Trichloroethane",0.22,0.183,1.2,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,1-Dichloroethane",ND,0.247,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,1-Dichloroethene",ND,0.252,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2,4-Trimethylbenzene",15.8,0.20399999999999999,77.599999999999994,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dichloroethane",ND,0.247,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-dichloropropane",ND,0.217,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,3,5-Trimethylbenzene",3.94,0.20399999999999999,19.399999999999999,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,3-Dichlorobenzene",1.65,0.16600000000000001,9.9,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2016-09-08T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-2,2-Hexanone(MBK),0.36,0.24399999999999999,1.47,1,2016-09-08T04:00:00Z,KCA,1,phoenix
