street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 59-63 North 6th Street,SV-2,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,1,1-Trichloroethane",0.560,0.183,3.05,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,1-Dichloroethane",2.35,0.247,9.50,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2,4-Trimethylbenzene",7.41,0.204,36.4,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,3,5-Trimethylbenzene",1.89,0.204,9.28,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,3-Butadiene",ND,0.452,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"1,4-Dioxane",ND,0.278,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,2-Hexanone(MBK),ND,0.244,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,4-Ethyltoluene,1.91,0.204,9.38,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,4-Isopropyltoluene,0.330,0.182,1.81,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,4-Methyl-2-pentanone(MIBK),0.320,0.244,1.31,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Acetone,60.6,0.421,144,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Acrylonitrile,ND,0.461,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Benzene,0.860,0.313,2.74,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Benzyl chloride,ND,0.193,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Bromodichloromethane,ND,0.149,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Bromoform,ND,0.097,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Bromomethane,ND,0.258,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Carbon Disulfide,1.41,0.321,4.39,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Carbon Tetrachloride,0.040,0.040,0.251,0.25,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Chlorobenzene,ND,0.217,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Chloroethane,ND,0.379,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Chloroform,0.240,0.205,1.17,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Chloromethane,ND,0.484,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"Cis-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"cis-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Cyclohexane,0.520,0.291,1.79,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Dibromochloromethane,ND,0.117,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Dichlorodifluoromethane,0.230,0.202,1.14,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Ethanol,14.4,0.531,27.1,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Ethyl acetate,ND,0.278,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Ethylbenzene,2.88,0.230,12.5,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Heptane,1.52,0.244,6.22,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Hexachlorobutadiene,ND,0.094,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Hexane,1.67,0.284,5.88,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Isopropylalcohol,1.95,0.407,4.79,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Isopropylbenzene,0.220,0.204,1.08,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"m,p-Xylene",12.8,0.230,55.5,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Methyl Ethyl Ketone,2.62,0.339,7.72,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Methyl tert-butyl ether(MTBE),ND,0.278,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Methylene Chloride,ND,0.288,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,n-Butylbenzene,0.470,0.182,2.58,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,o-Xylene,4.75,0.230,20.6,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Propylene,25.3,0.581,43.5,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,sec-Butylbenzene,ND,0.182,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Styrene,0.520,0.235,2.21,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Tetrachloroethene,0.980,0.037,6.64,0.25,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Tetrahydrofuran,2.41,0.339,7.10,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Toluene,13.6,0.266,51.2,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"Trans-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,"trans-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-08-14T04:00:00Z,KCA,phoenix
SV 59-63 North 6th Street,SV-2,Trichloroethene,0.180,0.047,0.967,0.25,2014-08-14T04:00:00Z,KCA,phoenix
