street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
160154,SV-1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,1,1-Trichloroethane",1.58,0.183,8.6199999999999992,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,1-Dichloroethane",ND,0.247,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,1-Dichloroethene",ND,0.252,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,2,4-Trimethylbenzene",54.3,1.02,267,5.01,2016-06-23T04:00:00Z,KCA,5
160154,SV-1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,2-Dichloroethane",ND,0.247,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,2-dichloropropane",ND,0.217,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,3,5-Trimethylbenzene",17.2,0.20399999999999999,84.5,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,4-Ethyltoluene,13.4,0.20399999999999999,65.8,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,4-Isopropyltoluene,1.1499999999999999,0.182,6.31,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Acetone,1.32,S  0.421,3.13,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Acrylonitrile,ND,0.46100000000000002,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Benzene,0.99,0.313,3.16,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Benzyl chloride,ND,0.193,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Bromoform,ND,9.7000000000000003E-2,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Bromomethane,ND,0.25800000000000001,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Carbon Disulfide,0.504,0.32100000000000001,1.57,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Carbon Tetrachloride,ND,0.04,ND,0.25,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Chlorobenzene,ND,0.217,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Chloroethane,ND,0.379,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Chloroform,1.54,0.20499999999999999,7.51,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Chloromethane,ND,0.48499999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Cyclohexane,0.76800000000000002,0.29099999999999998,2.64,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Dibromochloromethane,ND,0.11799999999999999,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Dichlorodifluoromethane,0.42799999999999999,0.20200000000000001,2.12,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Ethanol,2.4500000000000002,S  0.531,4.6100000000000003,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Ethyl acetate,ND,0.27800000000000002,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Ethylbenzene,25.9,0.23,112,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Heptane,2.72,0.24399999999999999,11.1,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Hexane,1.0900000000000001,S  0.284,3.84,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Isopropylalcohol,1.02,S  0.407,2.5099999999999998,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Isopropylbenzene,2.19,0.20399999999999999,10.8,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,"m,p-Xylene",91.1,1.1499999999999999,395,4.99,2016-06-23T04:00:00Z,KCA,5
160154,SV-1,Methyl Ethyl Ketone,ND,0.33900000000000002,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,Methylene Chloride,ND,0.28799999999999998,ND,1,2016-06-22T04:00:00Z,KCA,1
160154,SV-1,n-Butylbenzene,2.97,0.182,16.3,1,2016-06-22T04:00:00Z,KCA,1
