street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,1-Dichloroethane",ND,0.247,0.247,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,1-Dichloroethene",ND,5.0999999999999997E-2,5.0999999999999997E-2,ND,0.2,0.2,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2,4-Trichlorobenzene",0.17899999999999999,0.13500000000000001,0.13500000000000001,1.33,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2,4-Trimethylbenzene",0.53800000000000003,0.20399999999999999,0.20399999999999999,2.64,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2-Dibromoethane(EDB)",ND,0.13,0.13,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2-Dichlorobenzene",ND,0.16600000000000001,0.16600000000000001,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2-Dichloroethane",ND,0.247,0.247,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2-dichloropropane",ND,0.217,0.217,ND,1,1,2018-02-26T05:00:00Z,KCA,1
67 DUFFIELD ST BROOKLYN NY,SG 2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,0.14299999999999999,ND,1,1,2018-02-26T05:00:00Z,KCA,1
