street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
150129 NORTH 7TH,SV-2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,1-Dichloroethane",ND,0.247,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,1-Dichloroethene",ND,0.252,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2,4-Trimethylbenzene",3.66,0.20399999999999999,18,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2-Dichloroethane",ND,0.247,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2-dichloropropane",ND,0.217,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,3,5-Trimethylbenzene",0.88800000000000001,0.20399999999999999,4.3600000000000003,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,4-Ethyltoluene,1.38,0.20399999999999999,6.78,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,4-Isopropyltoluene,ND,0.182,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Acetone,ND,0.42099999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Acrylonitrile,ND,0.46100000000000002,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Benzene,0.75600000000000001,0.313,2.41,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Benzyl chloride,ND,0.193,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Bromodichloromethane,ND,0.14899999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Bromoform,ND,9.7000000000000003E-2,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Bromomethane,ND,0.25800000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Carbon Disulfide,ND,0.32100000000000001,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Carbon Tetrachloride,5.1999999999999998E-2,0.04,0.33,0.25,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Chlorobenzene,ND,0.217,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Chloroethane,ND,0.379,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Chloroform,ND,0.20499999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Chloromethane,ND,0.48499999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Cyclohexane,ND,0.29099999999999998,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Dibromochloromethane,ND,0.11799999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Dichlorodifluoromethane,0.37,0.20200000000000001,1.83,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Ethanol,6.68,0.53100000000000003,12.6,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Ethyl acetate,ND,0.27800000000000002,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Ethylbenzene,1.54,0.23,6.68,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Heptane,3.87,0.24399999999999999,15.9,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Hexachlorobutadiene,ND,9.4E-2,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Hexane,9.9,0.28399999999999997,34.9,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Isopropylalcohol,1.62,0.40699999999999997,3.98,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Isopropylbenzene,ND,0.20399999999999999,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,"m,p-Xylene",5.58,0.23,24.2,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Methyl Ethyl Ketone,4.79,0.33900000000000002,14.1,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Methylene Chloride,1.06,0.28799999999999998,3.68,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,n-Butylbenzene,ND,0.182,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,o-Xylene,1.42,0.23,6.16,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Propylene,ND,0.58099999999999996,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,sec-Butylbenzene,ND,0.182,ND,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Styrene,0.46700000000000003,0.23499999999999999,1.99,1,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Tetrachloroethene,6.24,3.6999999999999998E-2,42.3,0.25,2015-09-30T04:00:00Z,KCA,1
150129 NORTH 7TH,SV-2,Tetrahydrofuran,ND,0.33900000000000002,ND,1,2015-09-30T04:00:00Z,KCA,1
