street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,1-Dichloroethane",ND,0.247,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,1-Dichloroethene",ND,0.051,ND,0.20,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2,4-Trimethylbenzene",2.20,0.204,10.8,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2-Dichloroethane",ND,0.247,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2-dichloropropane",ND,0.217,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,3,5-Trimethylbenzene",0.679,0.204,3.34,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,3-Butadiene",ND,0.452,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,3-Dichlorobenzene",0.469,0.166,2.82,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"1,4-Dioxane",ND,0.278,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,2-Hexanone(MBK),ND,0.244,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,4-Ethyltoluene,2.10,0.204,10.3,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,4-Isopropyltoluene,ND,0.182,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,4-Methyl-2-pentanone(MIBK),1.02,0.244,4.18,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Acetone,308,6.32,731,15.0,2019-08-28T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Acrylonitrile,ND,0.461,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Benzene,0.783,0.313,2.50,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Benzyl chloride,ND,0.193,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Bromodichloromethane,ND,0.149,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Bromoform,ND,0.097,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Bromomethane,ND,0.258,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Carbon Disulfide,0.546,0.321,1.70,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Carbon Tetrachloride,0.038,0.032,0.24,0.20,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Chlorobenzene,ND,0.217,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Chloroethane,ND,0.379,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Chloroform,0.275,0.205,1.34,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Chloromethane,ND,0.485,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"Cis-1,2-Dichloroethene",ND,0.051,ND,0.20,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"cis-1,3-Dichloropropene",ND,0.221,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Cyclohexane,0.291,0.291,1.00,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Dibromochloromethane,ND,0.118,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Dichlorodifluoromethane,0.427,0.202,2.11,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Ethanol,26.9,0.531,50.7,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Ethyl acetate,ND,0.278,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Ethylbenzene,1.92,0.230,8.33,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Heptane,0.750,0.244,3.07,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Hexachlorobutadiene,ND,0.094,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Hexane,0.429,0.284,1.51,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Isopropylalcohol,ND,0.407,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Isopropylbenzene,ND,0.204,ND,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,"m,p-Xylene",6.14,0.230,26.6,1.00,2019-08-27T04:00:00Z,KCA,phoenix
SV 79-97 4th Avenue and 82 St. Marks Place,SG8,Methyl Ethyl Ketone,11.0,0.339,32.4,1.00,2019-08-27T04:00:00Z,KCA,phoenix
