street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 80-82 Ainslie,indoor,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,1-Dichloroethane",ND,0.247,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,1-Dichloroethene",ND,0.252,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2,4-Trimethylbenzene",2.04,0.204,10.0,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2-Dichloroethane",ND,0.247,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2-dichloropropane",ND,0.217,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,3,5-Trimethylbenzene",0.541,0.204,2.66,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,3-Butadiene",ND,0.452,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,3-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"1,4-Dioxane",ND,0.278,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,2-Hexanone(MBK),ND,0.244,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,4-Ethyltoluene,0.441,0.204,2.17,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,4-Isopropyltoluene,ND,0.182,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,4-Methyl-2-pentanone(MIBK),ND,0.244,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Acetone,ND,0.421,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Acrylonitrile,ND,0.461,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Benzene,2.51,0.313,8.01,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Benzyl chloride,ND,0.193,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Bromodichloromethane,ND,0.149,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Bromoform,ND,0.097,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Bromomethane,ND,0.258,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Carbon Disulfide,ND,0.321,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Carbon Tetrachloride,0.097,0.040,0.61,0.25,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Chlorobenzene,ND,0.217,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Chloroethane,ND,0.379,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Chloroform,ND,0.205,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Chloromethane,0.797,0.485,1.64,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"Cis-1,2-Dichloroethene",ND,0.252,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"cis-1,3-Dichloropropene",ND,0.221,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Cyclohexane,1.42,0.291,4.88,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Dibromochloromethane,ND,0.118,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Dichlorodifluoromethane,0.519,0.202,2.56,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Ethanol,90.0,SE  0.531,169,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Ethyl acetate,0.559,0.278,2.01,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Ethylbenzene,1.37,0.230,5.95,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Heptane,1.72,0.244,7.04,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Hexachlorobutadiene,ND,0.094,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Hexane,4.70,S  0.284,16.6,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Isopropylalcohol,2.47,S  0.407,6.07,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Isopropylbenzene,ND,0.204,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,"m,p-Xylene",5.55,0.230,24.1,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Methyl Ethyl Ketone,0.827,0.339,2.44,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Methyl tert-butyl ether(MTBE),ND,0.278,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Methylene Chloride,3.59,S  0.288,12.5,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,n-Butylbenzene,0.185,0.182,1.01,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,o-Xylene,2.09,0.230,9.07,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Propylene,ND,0.581,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,sec-Butylbenzene,ND,0.182,ND,1.00,2015-04-24T04:00:00Z,KCA,phoenix
SV 80-82 Ainslie,indoor,Styrene,0.351,0.235,1.49,1.00,2015-04-24T04:00:00Z,KCA,phoenix
