street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 802-806 Myrtle Ave,SG1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,1,1-Trichloroethane",0.230,0.183,1.25,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2,4-Trimethylbenzene",0.340,0.204,1.67,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,3-Butadiene",ND,0.452,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,3-Dichlorobenzene",0.960,0.166,5.77,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"1,4-Dioxane",ND,0.278,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,2-Hexanone(MBK),ND,0.244,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,4-Ethyltoluene,ND,0.204,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,4-Isopropyltoluene,ND,0.182,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,4-Methyl-2-pentanone(MIBK),0.790,0.244,3.23,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Acetone,70.2,0.421,167,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Acrylonitrile,ND,0.461,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Benzene,0.360,0.313,1.15,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Benzyl chloride,ND,0.193,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Bromodichloromethane,ND,0.149,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Bromoform,ND,0.097,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Bromomethane,ND,0.258,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Carbon Disulfide,0.720,0.321,2.24,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Carbon Tetrachloride,0.060,0.040,0.377,0.25,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Chlorobenzene,ND,0.217,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Chloroethane,ND,0.379,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Chloroform,ND,0.205,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Chloromethane,ND,0.484,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"cis-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Cyclohexane,ND,0.291,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Dibromochloromethane,ND,0.117,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Dichlorodifluoromethane,0.410,0.202,2.03,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Ethanol,49.0,0.531,92.3,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Ethyl acetate,ND,0.278,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Ethylbenzene,0.990,0.230,4.30,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Heptane,ND,0.244,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Hexachlorobutadiene,ND,0.094,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Hexane,0.310,0.284,1.09,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Isopropylalcohol,1.34,0.407,3.29,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Isopropylbenzene,ND,0.204,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"m,p-Xylene",3.38,0.230,14.7,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Methyl Ethyl Ketone,4.95,0.339,14.6,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Methyl tert-butyl ether(MTBE),ND,0.278,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Methylene Chloride,0.380,0.288,1.32,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,n-Butylbenzene,ND,0.182,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,o-Xylene,1.29,0.230,5.60,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Propylene,3.77,0.581,6.48,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,sec-Butylbenzene,ND,0.182,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Styrene,0.360,0.235,1.53,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Tetrachloroethene,0.290,0.037,1.96,0.25,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Tetrahydrofuran,ND,0.339,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Toluene,0.570,0.266,2.15,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,"trans-1,3-Dichloropropene",ND,0.220,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Trichloroethene,ND,0.047,ND,0.25,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Trichlorofluoromethane,4.14,0.178,23.2,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Trichlorotrifluoroethane,ND,0.130,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,Vinyl Chloride,ND,0.098,ND,0.25,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG1,% Bromofluorobenzene,106,%,106,%,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,1,1-Trichloroethane",1.54,0.183,8.40,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,1-Dichloroethane",ND,0.247,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,1-Dichloroethene",ND,0.252,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2,4-Trimethylbenzene",0.440,0.204,2.16,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2-Dichloroethane",ND,0.247,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2-dichloropropane",ND,0.216,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,3-Butadiene",ND,0.452,ND,1.00,2014-08-18T04:00:00Z,KCA,phoenix
SV 802-806 Myrtle Ave,SG2,"1,3-Dichlorobenzene",1.54,0.166,9.25,1.00,2014-08-18T04:00:00Z,KCA,phoenix
