street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
SV 81 McGuinness Blvd,SV1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,1,1-Trichloroethane",2.42,0.183,0.183,13.2,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,1-Dichloroethane",ND,0.247,0.247,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,1-Dichloroethene",ND,0.252,0.252,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2,4-Trichlorobenzene",0.377,0.13500000000000001,0.13500000000000001,2.8,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2,4-Trimethylbenzene",5.12,0.20399999999999999,0.20399999999999999,25.2,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2-Dibromoethane(EDB)",ND,0.13,0.13,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2-Dichlorobenzene",ND,0.16600000000000001,0.16600000000000001,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2-Dichloroethane",ND,0.247,0.247,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2-dichloropropane",ND,0.217,0.217,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,0.14299999999999999,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,3,5-Trimethylbenzene",1.39,0.20399999999999999,0.20399999999999999,6.83,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,3-Butadiene",ND,0.45200000000000001,0.45200000000000001,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,3-Dichlorobenzene",0.84799999999999998,0.16600000000000001,0.16600000000000001,5.0999999999999996,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,4-Dichlorobenzene",ND,0.16600000000000001,0.16600000000000001,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"1,4-Dioxane",ND,0.27800000000000002,0.27800000000000002,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,2-Hexanone(MBK),1.1599999999999999,0.24399999999999999,0.24399999999999999,4.75,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,4-Ethyltoluene,1.34,0.20399999999999999,0.20399999999999999,6.58,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,4-Isopropyltoluene,0.23,0.182,0.182,1.26,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,4-Methyl-2-pentanone(MIBK),0.52,0.24399999999999999,0.24399999999999999,2.13,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Acetone,22.7,0.42099999999999999,0.42099999999999999,53.9,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Acrylonitrile,ND,0.46100000000000002,0.46100000000000002,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Benzene,4.1900000000000004,0.313,0.313,13.4,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Benzyl chloride,ND,0.193,0.193,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Bromodichloromethane,ND,0.14899999999999999,0.14899999999999999,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Bromoform,ND,9.7000000000000003E-2,9.7000000000000003E-2,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Bromomethane,ND,0.25800000000000001,0.25800000000000001,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Carbon Disulfide,0.72799999999999998,0.32100000000000001,0.32100000000000001,2.27,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Carbon Tetrachloride,0.22600000000000001,0.04,0.04,1.42,0.25,0.25,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Chlorobenzene,ND,0.217,0.217,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Chloroethane,ND,0.379,0.379,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Chloroform,0.61399999999999999,0.20499999999999999,0.20499999999999999,3,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Chloromethane,ND,0.48499999999999999,0.48499999999999999,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"Cis-1,2-Dichloroethene",ND,0.252,0.252,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,"cis-1,3-Dichloropropene",ND,0.221,0.221,ND,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Cyclohexane,1.57,0.29099999999999998,0.29099999999999998,5.4,1,1,2017-07-06T04:00:00Z,KCA,1
SV 81 McGuinness Blvd,SV1,Dibromochloromethane,ND,0.11799999999999999,0.11799999999999999,ND,1,1,2017-07-06T04:00:00Z,KCA,1
