street_address,sample_id,parameter,ppbv_result,ppbv_rl,lod_mdl,ug_m3_result,ug_m3_rl,lod_mdl_2,date_time,by,dilution
SV 842-846 Flushing Ave,18SV2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,1,1-Trichloroethane",ND,0.183,0.183,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,0.14599999999999999,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,1,2-Trichloroethane",ND,0.183,0.183,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,1-Dichloroethane",ND,0.247,0.247,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,1-Dichloroethene",ND,5.0999999999999997E-2,5.0999999999999997E-2,ND,0.2,0.2,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,2,4-Trichlorobenzene",0.27300000000000002,0.13500000000000001,0.13500000000000001,2.02,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,2,4-Trimethylbenzene",0.97099999999999997,0.20399999999999999,0.20399999999999999,4.7699999999999996,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,2-Dibromoethane(EDB)",ND,0.13,0.13,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,2-Dichlorobenzene",ND,0.16600000000000001,0.16600000000000001,ND,1,1,2018-11-07T05:00:00Z,KCA,1
SV 842-846 Flushing Ave,18SV2,"1,2-Dichloroethane",ND,0.247,0.247,ND,1,1,2018-11-07T05:00:00Z,KCA,1
