street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 901 Myrtle Ave,SG1,"1,1,1,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,1,1-Trichloroethane",ND,0.183,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,1,2,2-Tetrachloroethane",ND,0.146,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,1,2-Trichloroethane",ND,0.183,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,1-Dichloroethane",ND,0.247,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,1-Dichloroethene",ND,0.252,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2,4-Trichlorobenzene",ND,0.135,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2,4-Trimethylbenzene",0.327,0.204,1.61,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2-Dibromoethane(EDB)",ND,0.130,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2-Dichlorobenzene",ND,0.166,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2-Dichloroethane",ND,0.247,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2-dichloropropane",ND,0.217,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,2-Dichlorotetrafluoroethane",ND,0.143,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,3,5-Trimethylbenzene",ND,0.204,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,3-Butadiene",ND,0.452,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,3-Dichlorobenzene",0.405,0.166,2.43,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,4-Dichlorobenzene",ND,0.166,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"1,4-Dioxane",ND,0.278,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,2-Hexanone(MBK),5.57,0.244,22.8,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,4-Ethyltoluene,0.239,0.204,1.17,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,4-Isopropyltoluene,ND,0.182,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,4-Methyl-2-pentanone(MIBK),2.10,0.244,8.60,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Acetone,1170,S   19.0,2780,45.1,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Acrylonitrile,ND,0.461,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Benzene,0.541,0.313,1.73,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Benzyl chloride,ND,0.193,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Bromodichloromethane,ND,0.149,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Bromoform,ND,0.097,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Bromomethane,ND,0.258,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Carbon Disulfide,0.544,0.321,1.69,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Carbon Tetrachloride,0.046,0.040,0.29,0.25,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Chlorobenzene,ND,0.217,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Chloroethane,ND,0.379,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Chloroform,0.351,0.205,1.71,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Chloromethane,ND,0.485,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,"cis-1,3-Dichloropropene",ND,0.221,ND,1.00,2015-10-02T04:00:00Z,KCA,phoenix
SV 901 Myrtle Ave,SG1,Cyclohexane,0.336,0.291,1.16,1.00,2015-10-02T04:00:00Z,KCA,phoenix
