street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV 922 Myrtle Avenue,SV1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,1-Dichloroethane",ND,0.247,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,1-Dichloroethene",ND,0.252,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2,4-Trimethylbenzene",3.81,0.20399999999999999,18.7,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2-Dichloroethane",ND,0.247,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2-dichloropropane",ND,0.217,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,3,5-Trimethylbenzene",0.88100000000000001,0.20399999999999999,4.33,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,4-Ethyltoluene,0.59899999999999998,0.20399999999999999,2.94,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,4-Isopropyltoluene,0.26700000000000002,0.182,1.46,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Acetone,131,S   6.32,311,15,2015-03-23T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Acrylonitrile,ND,0.46100000000000002,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Benzene,0.433,0.313,1.38,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Benzyl chloride,ND,0.193,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Bromoform,ND,9.7000000000000003E-2,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Bromomethane,ND,0.25800000000000001,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Carbon Disulfide,0.71,0.32100000000000001,2.21,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Carbon Tetrachloride,5.7000000000000002E-2,0.04,0.36,0.25,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Chlorobenzene,ND,0.217,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Chloroethane,ND,0.379,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Chloroform,6.35,0.20499999999999999,31,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Chloromethane,ND,0.48499999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Cyclohexane,ND,0.29099999999999998,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Dibromochloromethane,ND,0.11799999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Dichlorodifluoromethane,0.49299999999999999,0.20200000000000001,2.44,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Ethanol,13.7,S  0.531,25.8,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Ethyl acetate,0.64300000000000002,0.27800000000000002,2.3199999999999998,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Ethylbenzene,0.58599999999999997,0.23,2.54,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Heptane,1.22,0.24399999999999999,5,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Hexane,ND,0.28399999999999997,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Isopropylalcohol,1.18,S  0.407,2.9,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Isopropylbenzene,ND,0.20399999999999999,ND,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,"m,p-Xylene",2.11,0.23,9.16,1,2015-03-21T04:00:00Z,KCA,phoenix
SV 922 Myrtle Avenue,SV1,Methyl Ethyl Ketone,9.48,0.33900000000000002,27.9,1,2015-03-21T04:00:00Z,KCA,phoenix
