street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 975 Manhattan Ave,SS3,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,1,1-Trichloroethane",ND,0.183,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,1,2-Trichloroethane",ND,0.183,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,1-Dichloroethane",ND,0.247,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,1-Dichloroethene",ND,0.252,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2,4-Trimethylbenzene",5.83,0.20399999999999999,28.6,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2-Dichloroethane",ND,0.247,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2-dichloropropane",ND,0.217,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,3,5-Trimethylbenzene",1.7,0.20399999999999999,8.35,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,4-Ethyltoluene,1.47,0.20399999999999999,7.22,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,4-Isopropyltoluene,0.26900000000000002,0.182,1.48,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Acetone,49.7,S    2.11,118,5.01,2015-03-02T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Acrylonitrile,ND,0.46100000000000002,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Benzene,3.44,0.313,11,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Benzyl chloride,ND,0.193,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Bromodichloromethane,ND,0.14899999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Bromoform,ND,9.7000000000000003E-2,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Bromomethane,ND,0.25800000000000001,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Carbon Disulfide,ND,0.32100000000000001,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Carbon Tetrachloride,0.08,0.04,0.5,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Chlorobenzene,ND,0.217,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Chloroethane,ND,0.379,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Chloroform,ND,0.20499999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Chloromethane,ND,0.48499999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"cis-1,3-Dichloropropene",ND,0.221,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Cyclohexane,4.12,0.29099999999999998,14.2,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Dibromochloromethane,ND,0.11799999999999999,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Dichlorodifluoromethane,0.504,0.20200000000000001,2.4900000000000002,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Ethanol,153,S    2.66,288,5.01,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Ethyl acetate,2.95,0.27800000000000002,10.6,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Ethylbenzene,5.82,0.23,25.3,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Heptane,6.63,0.24399999999999999,27.2,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Hexachlorobutadiene,ND,9.4E-2,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Hexane,5.47,S   0.284,19.3,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Isopropylalcohol,20.100000000000001,S   0.407,49.4,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Isopropylbenzene,0.51700000000000002,0.20399999999999999,2.54,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,"m,p-Xylene",18.399999999999999,0.23,79.8,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Methyl Ethyl Ketone,1.08,0.33900000000000002,3.18,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Methylene Chloride,0.46200000000000002,S   0.288,1.6,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,n-Butylbenzene,0.46600000000000003,0.182,2.56,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,o-Xylene,7.56,0.23,32.799999999999997,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Propylene,1.44,0.58099999999999996,2.48,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,sec-Butylbenzene,ND,0.182,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS3,Styrene,ND,0.23499999999999999,ND,1,NA,KCA,TO15,phoenix
