street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 98 3rd Avenue,SV-2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,1-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,1-Dichloroethene",ND,0.252,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2,4-Trimethylbenzene",1.51,0.20399999999999999,7.42,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2-Dichloroethane",ND,0.247,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2-dichloropropane",ND,0.216,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,3,5-Trimethylbenzene",0.44,0.20399999999999999,2.16,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
SV 98 3rd Avenue,SV-2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2014-05-02T04:00:00Z,KCA,TO15,phoenix
