street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,lab
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,1,1-Trichloroethane",0.81,0.183,4.42,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,1-Dichloroethane",ND,0.247,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,1-Dichloroethene",ND,0.252,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2,4-Trimethylbenzene",0.39,0.20399999999999999,1.92,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2-Dichloroethane",ND,0.247,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2-dichloropropane",ND,0.216,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,3-Dichlorobenzene",2.21,0.16600000000000001,13.3,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,2-Hexanone(MBK),1.57,0.24399999999999999,6.43,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,4-Ethyltoluene,ND,0.20399999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,4-Isopropyltoluene,ND,0.182,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Acetone,204,0.42099999999999999,484,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Acrylonitrile,ND,0.46100000000000002,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Benzene,ND,0.313,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Benzyl chloride,ND,0.193,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Bromodichloromethane,ND,0.14899999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Bromoform,ND,9.7000000000000003E-2,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Bromomethane,ND,0.25800000000000001,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Carbon Disulfide,0.43,0.32100000000000001,1.34,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Carbon Tetrachloride,ND,0.04,ND,0.25,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Chlorobenzene,ND,0.217,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Chloroethane,ND,0.379,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Chloroform,ND,0.20499999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Chloromethane,ND,0.48399999999999999,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,"cis-1,3-Dichloropropene",ND,0.22,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Cyclohexane,ND,0.29099999999999998,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Dibromochloromethane,ND,0.11700000000000001,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Dichlorodifluoromethane,0.45,0.20200000000000001,2.2200000000000002,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Ethanol,34.200000000000003,0.53100000000000003,64.400000000000006,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Ethyl acetate,9.3800000000000008,0.27800000000000002,33.799999999999997,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Ethylbenzene,ND,0.23,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Heptane,0.61,0.24399999999999999,2.5,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Hexachlorobutadiene,ND,9.4E-2,ND,1,2014-04-18T04:00:00Z,KCA,phoenix
SV DOMINO SUGAR SITE B 270-290 Kent Avenue,B-SG1,Hexane,0.68,0.28399999999999997,2.4,1,2014-04-18T04:00:00Z,KCA,phoenix
