CAS.No,Parameter,Results,Units,LOQ,Dilution,Matrix,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
630-20-6,"* 1,1,1,2-Tetrachloroethane",NA,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
71-55-6,"1,1,1-Trichloroethane",NA,ug/m3,0.87,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
79-34-5,"1,1,2,2-Tetrachloroethane",NA,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane (Freon 113)",NA,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
79-00-5,"1,1,2-Trichloroethane",NA,ug/m3,0.87,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-34-3,"1,1-Dichloroethane",NA,ug/m3,0.65,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-35-4,"1,1-Dichloroethylene",NA,ug/m3,0.16,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
120-82-1,"1,2,4-Trichlorobenzene",NA,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
95-63-6,"1,2,4-Trimethylbenzene",60,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
106-93-4,"1,2-Dibromoethane",NA,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
95-50-1,"1,2-Dichlorobenzene",NA,ug/m3,0.96,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
107-06-2,"1,2-Dichloroethane",NA,ug/m3,0.65,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
78-87-5,"1,2-Dichloropropane",NA,ug/m3,0.74,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
76-14-2,"1,2-Dichlorotetrafluoroethane",NA,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
108-67-8,"1,3,5-Trimethylbenzene",13,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
106-99-0,"1,3-Butadiene",NA,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
541-73-1,"1,3-Dichlorobenzene",NA,ug/m3,0.96,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
142-28-9,"* 1,3-Dichloropropane",NA,ug/m3,0.74,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
106-46-7,"1,4-Dichlorobenzene",NA,ug/m3,0.96,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
123-91-1,"1,4-Dioxane",NA,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
78-93-3,2-Butanone,1600,ug/m3,4.7,16.02,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
591-78-6,* 2-Hexanone,170,ug/m3,1.3,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
107-05-1,3-Chloropropene,NA,ug/m3,2.5,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
108-10-1,4-Methyl-2-pentanone,NA,ug/m3,0.66,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
67-64-1,Acetone,280,ug/m3,7.6,16.02,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
107-13-1,Acrylonitrile,NA,ug/m3,0.35,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
71-43-2,Benzene,3,ug/m3,0.51,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
100-44-7,Benzyl chloride,NA,ug/m3,0.83,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-27-4,Bromodichloromethane,NA,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-25-2,Bromoform,NA,ug/m3,1.7,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
74-83-9,Bromomethane,NA,ug/m3,0.62,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-15-0,Carbon disulfide,3.1,ug/m3,0.5,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
56-23-5,Carbon tetrachloride,0.5,ug/m3,0.25,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
108-90-7,Chlorobenzene,NA,ug/m3,0.74,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-00-3,Chloroethane,NA,ug/m3,0.42,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
67-66-3,Chloroform,5,ug/m3,0.78,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
74-87-3,Chloromethane,NA,ug/m3,0.33,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
156-59-2,"cis-1,2-Dichloroethylene",NA,ug/m3,0.16,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
10061-01-5,"cis-1,3-Dichloropropylene",NA,ug/m3,0.73,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
110-82-7,Cyclohexane,0.83,ug/m3,0.55,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
124-48-1,Dibromochloromethane,NA,ug/m3,1.4,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
75-71-8,Dichlorodifluoromethane,2.5,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
141-78-6,* Ethyl acetate,NA,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
100-41-4,Ethyl Benzene,12,ug/m3,0.7,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
87-68-3,Hexachlorobutadiene,NA,ug/m3,1.7,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
67-63-0,Jsopropanol,2.5,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
80-62-6,Methyl Methacrylate,NA,ug/m3,0.66,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
1634-04-4,Methyl tert-butyl ether (MTBE),NA,ug/m3,0.58,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
64164,Methylene chloride,1.7,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
142-82-5,n-Heptane,6,ug/m3,0.66,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
110-54-3,n-Hexane,7.3,ug/m3,0.56,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
95-47-6,o-Xylene,19,ug/m3,0.7,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
179601-23-1,p- & m- Xylenes,54,ug/m3,1.4,1.602,SV,York,153 Green Street,SV-1,2018-05-24,2018-06-06,19CVCP011K
