Parameter,Results,Units,LOQ,Dilution,CAS.No,Matrix,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
"1,1,1-Trichloroethane",1.3,ug/m3,0.83,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,1,2,2-Tetrachloroethane",< 1.0,ug/m3,1,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,1,2-Trichloroethane",< 0.83,ug/m3,0.83,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,1-Dichloroethane",< 0.62,ug/m3,0.62,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,1-Dichloroethene",< 0.60,ug/m3,0.6,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,2,4-Trichlorobenzene",< 1.1,ug/m3,1.1,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,2,4-Trimethylbenzene",20,ug/m3,7.5,10,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,2-Dibromoethane",< 1.2,ug/m3,1.2,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,2-Dichlorobenzene",< 0.92,ug/m3,0.92,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,2-Dichloroethane",< 0.62,ug/m3,0.62,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,2-Dichloropropane",< 0.70,ug/m3,0.7,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
"1,3,5-Trimethylbenzene",3.2,ug/m3,0.75,1,"NA",Air,Centek,242-246 Wallabout Street,SG1,08/19/2011,09/06/2011,12CBCP030K
