Parameter,Results,Units,LOQ,Matrix,CAS.No,Dilution,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
Acetone,1600,ug/m3,14,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Benzene,3,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Benzyl Chloride,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Bromodichloromethane,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Bromoform,ND,ug/m3,6,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Bromomethane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,3-Butadiene",ND,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
2-Butanone,55,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Carbon Disulfide,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Carbon Tetrachloride,ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chlorobenzene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chlorodibromomethane,ND,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chloroethane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chloroform,8,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Chloromethane,2,ug/m3,1,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
3-Chloro-1-propene,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
o-Chlorotoluene,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Cyclohexane,ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dibromoethane",ND,ug/m3,5,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,2-Dichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,3-Dichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,4-Dichlorobenzene",ND,ug/m3,4,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
Dichlorodifluoromethane,ND,ug/m3,3,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
"1,1-Dichloroethane",ND,ug/m3,2,Air,"NA","NA",ALS Environmental,112 Emerson Place,SG1,07/26/2011,08/03/2011,12CBCP029K
