CAS.No,Parameter,Results,Units,LOQ,Dilution,Matrix,Lab,Street,Client_ID,Collection_date,Analysis_date,Project_ID
630-20-6,"* 1,1,1,2-Tetrachloroethane",ND,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
71-55-6,"1,1,1-Trichloroethane",ND,ug/m3,0.87,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
79-34-5,"1,1,2,2-Tetrachloroethane",ND,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
76-13-1,"1,1,2-Trichloro-1,2,2-trifluoroethane (Freon 113)",ND,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
79-00-5,"1,1,2-Trichloroethane",ND,ug/m3,0.87,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-34-3,"1,1-Dichloroethane",ND,ug/m3,0.65,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
75-35-4,"1,1-Dichloroethylene",ND,ug/m3,0.16,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
120-82-1,"1,2,4-Trichlorobenzene",ND,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
95-63-6,"1,2,4-Trimethylbenzene",60,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
106-93-4,"1,2-Dibromoethane",ND,ug/m3,1.2,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
95-50-1,"1,2-Dichlorobenzene",ND,ug/m3,0.96,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
107-06-2,"1,2-Dichloroethane",ND,ug/m3,0.65,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
78-87-5,"1,2-Dichloropropane",ND,ug/m3,0.74,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
76-14-2,"1,2-Dichlorotetrafluoroethane",ND,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
108-67-8,"1,3,5-Trimethylbenzene",13,ug/m3,0.79,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
106-99-0,"1,3-Butadiene",ND,ug/m3,1.1,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
541-73-1,"1,3-Dichlorobenzene",ND,ug/m3,0.96,1.602,SV,York,153 Green Street,SV-1,05/24/2018,06/06/2018,19CVCP011K
