project_id,name,borough,address,block_lot,project_class,zip_code,latitude,longitude
19CVCP027K,651 - 671 Gates Avenue,Brooklyn,651 - 671 GATES AVENUE,Block: 1811Lot:19 ...,Completed (C),11221-1553,40.687603,-73.939507
20CVCP034K,63-71 Bridge Street,Brooklyn,63-71 BRIDGE STREET,Block: 42Lot:1 ...,Hold (H),11201-1127,40.70256,-73.984566
19CVCP020K,1458-1460 FLATBUSH AVENUE,Brooklyn,1458-1460 FLATBUSH AVENUE,Block: 5249Lot:58 ...,Completed (C),11210-2329,40.635159,-73.950378
19CVCP068K,842-846 FLUSHING AVENUE,Brooklyn,842-848 FLUSHING AVENUE,Block: 3138Lot:20 ...,Completed (C),11206-4252,40.701431,-73.937943
19CVCP033K,2618 Fulton Street,Brooklyn,2618 FULTON STREET,Block: 3669Lot:13 ...,Completed (C),11207-2418,40.676781,-73.897591
19CVCP022K,161 HARRISON AVENUE,Brooklyn,161 HARRISON AVENUE,Block: 2250Lot:4,Active (A),11206-4901,40.702026,-73.94883
19CVCP021K,174 KINGS HIGHWAY,Brooklyn,166 KINGS HIGHWAY,Block: 6619Lot:42,Active (A),11223-1003,40.605549,-73.985397
19CVCP060K,975 MANHATTAN AVENUE,Brooklyn,975 MANHATTAN AVENUE,Block: 2532Lot:46,Completed (C),11222-7573,40.732498,-73.954788
19CVCP001K,777 GLENMORE AVENUE,Brooklyn,777 GLENMORE AVENUE,Block: 3988Lot:35,Completed (C),11208,40.675457,-73.881363
19CVCP002K,142-150 South Portland Avenue,Brooklyn,142-150 SOUTH PORTLAND AVE,Block: 2003Lot:37,Active (A),11217-1504,40.684902,-73.974373
19CVCP006K,288-292 UNION AVENUE,Brooklyn,288-292 UNION AVENUE,Block: 3022Lot:3 ...,Completed (C),11211-5812,40.709152,-73.950539
18CVCP072K,40-48 COMMERCIAL STREET,Brooklyn,40-48 COMMERCIAL STREET,Block: 2482Lot:1 ...,Active (A),11222-1038,40.736458,-73.957886
19CVCP007K,233 Nevins Street,Brooklyn,236 BUTLER STREET,Block: 412Lot:6 ...,Completed (C),14467-9362,43.053158,-77.632683
18CVCP051K,98 3RD AVENUE,Brooklyn,98 3RD AVENUE,Block: 388Lot:31,Hold (H),11217-2305,40.683208,-73.982452
19CVCP079K,113 Hamilton Avenue,Brooklyn,113 HAMILTON AVENUE,Block: 362Lot:1,Completed (C),11231-1326,40.681641,-74.004639
18CVCP048K,632 METROPOLITAN AVENUE,Brooklyn,632 METROPOLITAN AVENUE,Block: 2762Lot:17,Active (A),11211-3606,40.714016,-73.947937
18CVCP063K,67 DUFFIELD STREET,Brooklyn,67 DUFFIELD STREET,Block: 121Lot:3,Completed (C),11201-2009,40.696484,-73.983559
18CVCP040K,1026-1030 MANHATTAN AVENUE,Brooklyn,1026-1030 MANHATTAN AVENUE,Block: 2513Lot:3 ...,Active (A),11222-5881,40.734016,-73.954651
18CVCP050K,522 GRAND STREET,Brooklyn,522 GRAND STREET,Block: 2785Lot:12,Completed (C),11211-6040,40.710743,-73.950432
18CVCP018K,2415 CHURCH AVE,Brooklyn,2415 CHURCH AVE,Block: 5090Lot:86 ...,Completed (C),11226-8439,40.650852,-73.955124
18CVCP030K,72 South Second Street,Brooklyn,72 SOUTH SECOND STREET,Block: 2416Lot:7,Active (A),11249-5152,40.714054,-73.964989
19CVCP026K,705 Franklin Avenue,Brooklyn,705 FRANKLIN AVENUE,Block: 1231Lot:1,Active (A),11238-4202,40.674397,-73.956329
18CVCP034K,2570 FLATBUSH AVENUE,Brooklyn,2570 FLATBUSH AVENUE,Block: 8590Lot:31 ...,Completed (C),11234-5129,40.6078,-73.920677
18CVCP043K,157 New Jersey Avenue,Brooklyn,157 NEW JERSEY AVENUE,Block: 3671Lot:43 ...,Active (A),11706-3216,40.757088,-73.242195
18CVCP084K,315 Linwood Street,Brooklyn,315 LINWOOD,Block: 3971Lot:19 ...,Completed (C),11208-4097,40.678059,-73.88324
19CVCP011K,153 GREEN STREET,Brooklyn,153 GREEN STREET,Block: 2512Lot:52,Completed (C),11222-7566,40.733898,-73.955467
18CVCP038K,658 DRIGGS AVENUE,Brooklyn,658 DRIGGS AVENUE,Block: 2366Lot:21,Completed (C),11211-6059,40.714737,-73.959221
18CVCP032K,625 Driggs Avenue,Brooklyn,625 DRIGGS AVENUE,Block: 2353Lot:6 ...,Completed (C),11211-6993,40.715187,-73.95826
18CVCP002K,1190 Fulton Street,Brooklyn,1190 FULTON STREET,Block: 1860Lot:6 ...,Completed (C),11216-6567,40.680485,-73.9533
18CVCP014K,1048 MANHATTAN AVENUE,Brooklyn,1048 MANHATTAN AVENUE,Block: 2505Lot:2,Completed (C),11222-4098,40.73459,-73.95486
18CVCP016K,2437 PITKIN AVENUE,Brooklyn,2437 PITKIN AVENUE,Block: 4003Lot:35,Completed (C),11208-4185,40.674026,-73.882362
18CVCP009K,820 GLENMORE AVENUE,Brooklyn,820 GLENMORE AVENUE,Block: 4006Lot:13 ...,Completed (C),11208-4190,40.675381,-73.879639
18CVCP023K,81 MCGUINNESS BLVD,Brooklyn,81 MCGUINNESS BLVD,Block: 2649Lot:21,Completed (C),11222-6938,40.725204,-73.948883
17CVCP072K,1096 BROADWAY,Brooklyn,1096 BROADWAY,Block: 1600Lot:15,Completed (C),11221-3014,40.694088,-73.930588
17CVCP066K,183 MCGUINNESS BOULEVARD,Brooklyn,183 MCGUINNESS BOULEVARD,Block: 2599Lot:19 ...,Completed (C),11222-7821,40.728493,-73.950668
17CVCP062K,402 SNEDIKER AVENUE,Brooklyn,402 SNEDIKER AVENUE,Block: 3799Lot:26,Completed (C),11207-5009,40.66502,-73.900269
17CVCP060K,633 MARCY AVENUE,Brooklyn,633 MARCY AVENUE,Block: 1771Lot:5 ...,Completed (C),11206-6438,40.692886,-73.948578
17CVCP049K,922 MYRTLE AVENUE,Brooklyn,922 MYRTLE AVENUE,Block: 1756Lot:24 ...,Completed (C),11206-6526,40.695713,-73.944412
21CVCP031K,335 Ralph Avenue,Brooklyn,335 RALPH AVENUE,Block: 1556Lot:3,Active (A),11233-3023,40.677475,-73.921486
16CVCP085K,710 Grand Street,Brooklyn,710 Grand Street,Block: 2788Lot:19,Completed (C),11211-5140,40.711357,-73.944328
16CVCP043K,1516 Fulton Street,Brooklyn,1516 Fulton Street,Block: 1864Lot:12,Completed (C),11216-5375,40.679756,-73.940208
16CVCP066K,925 Atlantic Avenue,Brooklyn,925 Atlantic Avenue,Block: 2018Lot:57,Active (A),11238-2704,40.680756,-73.962296
16CVCP015K,1989 Coney Island Avenue,Brooklyn,1989 Coney Island Avenue,Block: 6774Lot:57 ...,Completed (C),11223-2328,40.608665,-73.961761
17CVCP055K,578 5th Avenue,Brooklyn,578 5th Avenue,Block: 1052Lot:46 ...,Completed (C),11215-7499,40.664753,-73.990196
17CVCP031K,540 Fulton Street,Brooklyn,540 Fulton Street,Block: 161Lot:18,Completed (C),11201-5308,40.68895,-73.981415
16CVCP072K,141 Metropolitan Avenue,Brooklyn,141 Metropolitan Avenue,Block: 2358Lot:24,Completed (C),11249-3893,40.716274,-73.962128
16CVCP076K,814-822 Bedford Ave,Brooklyn,814 Bedford Avenue,Block: 1900Lot:31 ...,Completed (C),11205-3581,40.696461,-73.956696
17CVCP018K,74-76 Ainslie Street,Brooklyn,74 Ainslie Street,Block: 2375Lot:10,Completed (C),11211-3404,40.712463,-73.951958
16CVCP064K,383 Manhattan Avenue,Brooklyn,383 Manhattan Avenue,Block: 2738Lot:24,Completed (C),11211-5944,40.71756,-73.946877
17CVCP027K,241 - 245 4TH AVENUE,Brooklyn,245 4TH AVENUE,Block: 958Lot:4 ...,Completed (C),11215-1008,40.676418,-73.983452
16CVCP070K,1353 Flatbush Avenue,Brooklyn,1353 Flatbush Avenue,Block: 5227Lot:13 ...,Completed (C),11210-1377,40.63813,-73.953178
16CVCP052K,805-825 Surf Avenue,Brooklyn,805 Surf Avenue,Block: 7268Lot:213 ...,Completed (C),11224-2819,40.575554,-73.977333
16CVCP048K,526 Union Avenue,Brooklyn,526 Union Avenue,Block: 2741Lot:3,Completed (C),11211-5935,40.716347,-73.951675
16CVCP020K,144 - 146 West Street,Brooklyn,146 West Street,Block: 2531Lot:1 ...,Completed (C),11222-1502,40.731991,-73.959328
18CVCP049K,1050-1066 Manhattan Avenue,Brooklyn,1050 Manhattan Avenue,Block: 2505Lot:3 ...,Completed (C),11222-1325,40.734718,-73.954834
17CVCP054K,609-619 4th Avenue,Brooklyn,609 4th Avenue,Block: 631Lot:6 ...,Completed (C),11215-5342,40.664375,-73.993484
16CVCP041K,415-419 Marcy Avenue,Brooklyn,419 Marcy Avenue,Block: 2245Lot:1 ...,Active (A),11206-5789,40.70142,-73.951355
16CVCP030K,470 Manhattan Avenue,Brooklyn,470 Manhattan Avenue,Block: 2714Lot:30 ...,Completed (C),11222-4848,40.720448,-73.947495
18CVCP037K,82 John Street,Brooklyn,78 John Street,Block: 20Lot:21,Completed (C),11201-1122,40.704269,-73.985115
16CVCP082K,461-463 Tompkins Avenue,Brooklyn,461 Tompkins Avenue,Block: 1852Lot:8 ...,Active (A),11216-2306,40.681618,-73.943268
16CVCP079K,179 Throop Avenue,Brooklyn,179 Throop Avenue,Block: 1723Lot:1 ...,Completed (C),11206-5386,40.698891,-73.943085
16CVCP016K,96-98 Degraw Street,Brooklyn,98 Degraw Street,Block: 329Lot:23 ...,Completed (C),11231-1442,40.68576,-74.003304
20CVCP060K,205 Park Avenue,Brooklyn,195 Park Avenue,Block: 2033Lot:50,Active (A),11238-4344,40.677334,-73.970596
15CVCP147K,308 North 7th Street,Brooklyn,308 NORTH 7TH STREET,Block: 2331Lot:15 ...,Completed (C),11211-3158,40.714912,-73.953209
15CVCP117K,86-90 Walton Street - DOB Job # 321064389,Brooklyn,90 Walton Street,Block: 2250Lot:10 ...,Completed (C),11206-4309,40.70252,-73.94864
15CVCP100K,209-227 McGuinness Boulevard,Brooklyn,209 McGuinness Blvd,Block: 2576Lot:20 ...,Completed (C),11222-2306,40.72998,-73.95099
17CVCP009K,911-917 Atlantic Avenue,Brooklyn,911 Atlantic Avenue,Block: 2018Lot:62 ...,Completed (C),11238-2704,40.680832,-73.96257
15CVCP142K,1520 Fulton Street,Brooklyn,1520 Fulton Street,Block: 1864Lot:14 ...,Completed (C),11216-6414,40.679581,-73.939926
16CVCP006K,125 Third Avenue,Brooklyn,125 3rd Avenue,Block: 395Lot:3,Completed (C),11217-2603,40.682552,-73.982307
