project_id,street_address,sample_id,Benzene,Toluene,Ethylbenzene,o-Xylene,m/p-Xylene,Trichloroethene,Tetrachloroethene,BTEX
20CVCP034K,63-71 Bridge Street,SV-01,5.65,7.73,1.94,3.06,6.69,11.9,3.08,25.07
20CVCP034K,63-71 Bridge Street,SV-02,4.54,8.71,1.9,2.98,6.78,2.48,0.38,24.91
20CVCP034K,63-71 Bridge Street,SV-03,25.7,7.73,2.42,3.84,8.6,2.38,0.655,48.29
20CVCP034K,63-71 Bridge Street,SV-04,2.83,9.84,2.19,3.39,7.43,11,2.14,25.68
20CVCP034K,63-71 Bridge Street,SV-05,10.7,6.97,2.12,3.48,7.86,1.74,0.649,31.13
20CVCP034K,63-71 Bridge Street,SV-06,6.93,6.93,2.21,3.64,8.04,1.7,0.59,27.75
17CVCP035K,75 Dupont Street,SV-201,0.843,3.09,0.877,1.74,3.51,ND,ND,10.06
17CVCP035K,75 Dupont Street,SV-202,1.97,1.57,2.76,4.07,8.86,ND,ND,19.23
17CVCP035K,75 Dupont Street,SV-203,ND,ND,ND,0.969,1.94,ND,ND,2.909
17CVCP035K,75 Dupont Street,SV-204,ND,2.31,1.33,2.47,6.3,ND,ND,12.41
17CVCP035K,75 Dupont Street,SV-205,2.67,4.03,1.94,3.12,7.56,ND,ND,19.32
17CVCP035K,75 Dupont Street,SV-206,0.907,1.05,0.934,1.56,2.83,ND,ND,7.281
17CVCP035K,75 Dupont Street,SV-207,0.783,1.27,1.36,2.89,5.08,ND,ND,11.383
17CVCP035K,75 Dupont Street,IA-301,ND,ND,ND,ND,ND,ND,0.197,ND
17CVCP035K,75 Dupont Street,OA-302,ND,ND,ND,ND,ND,ND,0.142,ND
17CVCP035K,75 Dupont Street,OA-303,ND,ND,ND,ND,ND,ND,0.224,ND
15CVCP118K,81-111 Junius Street,SV-1,1.81,6.33,1.12,1.55,3.88,ND,ND,14.69
15CVCP118K,81-111 Junius Street,SV-2,1.98,8.33,1.3,1.89,4.56,ND,ND,18.06
15CVCP118K,81-111 Junius Street,SV-3,7.41,6.18,ND,2.01,4.12,ND,ND,19.72
15CVCP118K,81-111 Junius Street,SV-4,1.74,5.16,ND,ND,3.62,ND,ND,10.52
15CVCP118K,81-111 Junius Street,SV-5,2.84,7.08,ND,1.05,2.58,ND,ND,13.55
15CVCP118K,81-111 Junius Street,SV-6,3.61,5.95,ND,ND,ND,ND,ND,9.56
19CVCP002K,142-150 South Portland Avenue,SV-01,1.42,5.43,ND,1.32,2.94,14.9,35.2,11.11
