address_4,zip,x,y,latitude,longitude
2244 Church Avenue,11226,995953,176246,40.650423449366,-73.9578250531889
105 Metropolitan Avenue,11249,994504,200341,40.7165605181085,-73.9630102515473
24 Hillel Place,11210,998623,169700,40.6324521556195,-73.9482169286686
456 Grand Street,11211,997393,198399,40.7112263721956,-73.9525924157633
2166 Nostrand Avenue,11210,998788,169596,40.632159538786,-73.94762280016
67 Brighton 1 Lane (Brighton Green),11235,993614,149564,40.577189659519,-73.9662912777841
470 Driggs Avenue,11211,996895,201216,40.7189590883907,-73.9543834396891
210 North 12th Street,11211,997064,201587,40.7199771507811,-73.9537730697175
386-388 Wallabout Street,11206,998739,195123,40.7022324253245,-73.9477443638505
112 Emerson Place,11205,994697,192265,40.6943935773206,-73.9623265627991
242 Wallabout Street,11206,997208,194367,40.7001597569731,-73.9532674806046
250 North 10th Street,11211,997332,200693,40.717522943826,-73.9528079885125
544 Union Avenue,11211,997542,200406,40.7167348847533,-73.9520510013032
177 Harrison Avenue,11206,998542,194799,40.701336553387,-73.948455447899
1426-1438 Fulton Street,11216,999859,187048,40.680059585973,-73.943723675095
1309-1321 38th Street,11218,988397,172739,40.6408042530325,-73.9850573113238
263 Bedford Avenue,11211,995116,199754,40.7149486132579,-73.960803502243
25 Hope Street,11211,996165,199275,40.7136325222489,-73.9570203338455
107 Union Street,11231,983225,188691,40.6845898761981,-74.0036957590478
72 Throop Avenue,11206,999030,195250,40.7025805292148,-73.9466945726377
390 Wallabout Street,11206,998768,195147,40.702298252154,-73.9476397215196
821 Bedford Avenue,11205,996350,192763,40.695758365969,-73.95636470506
1465 Rockaway Parkway,11236,1011534,174129,40.6445784486966,-73.9016832740156
249 North 7th Street and 248 North 8th Street,11211,996835,200101,40.7158987668892,-73.9546019729465
876 Livonia Avenue,11207,1016295,182007,40.666178767454,-73.884489813638
650 Metropolitan Avenue,11211,998879,199503,40.7142542564547,-73.9472299274968
345 State Street,11217,988342,189898,40.687901928325,-73.9852450758381
16 Bartlett Street,11206,998846,194440,40.7003575747279,-73.9473599409039
172 Nassau Street,11201,988543,193731,40.6984225314198,-73.9845178677577
243 Meeker Avenue,11211,997910,200258,40.7163280997326,-73.9507237942711
538 Union Avenue,11211,997554,200312,40.7164768592805,-73.9520078987983
235-247 & 253-263 North 9th Street,11211,997074,200580,40.7172131637244,-73.9537389129074
527 Flushing Avenue,11205,997029,194071,40.6993475665289,-73.9539135986091
285 Jay Street,11201,987822,192680,40.6955381013259,-73.9871186154785
125 Flatbush Avenue Extension,11201,988638,192614,40.6953565796684,-73.9841759906233
10504 Flatlands Avenue,11236,1013529,175247,40.647640744456,-73.8944895311299
60 Water Street,11201,986561,195497,40.7032705277491,-73.9916650804965
81 Fleet Place,11201,989311,191788,40.6930890417805,-73.9817496381086
78-80 Throop Avenue,11206,999083,195189,40.7024130098709,-73.9465035576751
823 Bedford Avenue,11205,996353,192745,40.6957089560521,-73.9563539187366
45 India Street,11222,995668,205943,40.7319352224342,-73.9588017945524
66 North 8th Street,11249,995180,201783,40.7205176517977,-73.9605693429677
588 Myrtle Avenue,11205,995101,192132,40.69402803704,-73.9608698930952
490 Myrtle Avenue,11205,993766,191919,40.6934449375456,-73.9656843758217
504 Myrtle Avenue,11205,993999,191948,40.6935242822296,-73.9648441132139
131 Berry Street,11249,995556,201023,40.7184311624035,-73.9592141762729
186 Greenpoint Avenue,11222,997290,205352,40.7303108299291,-73.9529504721224
683-691 Marcy Avenue,11216,998588,190981,40.6908638461398,-73.9482977733028
291 Metropolitan Avenue,11211,995909,199630,40.7146072534445,-73.9579431594703
212-218 North 9th Street,11211,996754,200833,40.717908045981,-73.9548928054799
501 Leonard Street,11222,998381,202373,40.7221325251122,-73.9490202993185
79-97 4th Avenue,11217,989744,187605,40.6816074079857,-73.9801916172882
Dean Street Habitat for Humanity--2396 Dean Street,11233,1009782,185057,40.6745786103616,-73.907955148254
62 Box Street,11222,996970,207934,40.7373982495617,-73.9541001800362
498 Leonard Street,11222,998389,202352,40.7220748724141,-73.9489914822418
125 Borinquen Place,11211,996784,198171,40.7106014501326,-73.954789539116
82 Throop Avenue,11206,999118,195148,40.7023004157686,-73.9463774178278
1875 Atlantic Avenue,11233,1005617,185938,40.6770077884968,-73.9229674966491
376-382 Wallabout Street,11206,998668,195062,40.7020651106231,-73.9480005610698
33 Carroll Street,11231,982929,188246,40.6833684134947,-74.0047629349049
661 Flushing Avenue,11206,998996,194371,40.7001679372083,-73.9468191213765
101 West Street,11222,995533,205221,40.7299536827567,-73.9592901095508
50 Greenpoint Avenue,11222,995649,205147,40.7297504221465,-73.9588716984749
1044 Bedford Avenue,11205,996705,190381,40.6892198346978,-73.9550889003189
1035 Fulton Street,11238,995221,187801,40.6821402894504,-73.9604442102589
245-247 Driggs Avenue,11222,998727,202575,40.722686406712,-73.9477716182446
1345-1357 Rogers Avenue,11210,997846,171400,40.6371195203374,-73.9510128799648
