zip,trichloroethene_sum,tetrachloroethene_sum,btex_sum
11201,8701.769999999999,8938.64,6120.889999999999
11204,0,10.6,17.11
11205,428.63599999999997,1388.3999999999999,3478.81
11206,15578.023999999998,37795.89,13059.809999999998
11207,51.16000000000001,1799.5999999999997,7932.43
11208,10919.920000000002,15329.259999999998,56949.96
11210,9.299999999999999,118.39999999999999,735.86
11211,1137.0010000000002,29753.963999999996,1206736.42
11212,38.19,3633,380.82
11213,0,0,64.9
11214,22,86,551
11215,7021.13,3851.38,10627.659999999998
11216,1162.5,24645.34,1335.24
11217,846.4200000000001,1377.3400000000001,12016.76
11218,15.930000000000001,215.35,412.05
11219,182.34,10461.1,59084.26
11220,0,0,2.44
11221,7810.860000000001,13108.5,467.4
11222,33519.744999999995,7622.451999999999,160399.23000000007
11223,433.2,1079.64,3999.49
11224,3.7,51,2507
11225,14.8,2.98,37.93
11226,3.1,130,2161.8
11229,0,0,172000
11230,19.51,362.2,535.78
11231,861.93,3729.89,11659.07
11232,65.1,252.3,141.8
11233,313.896,10804.3,3759.3100000000004
11234,0,0,19.72
11235,3.2,8.6,163
11236,112.53,2455.8,0
11237,0.48,81,51.1
11238,155.672,3690.580999999999,3309.34
11249,3671.4599999999996,16608.188,347351.1
